Timestamp;Current Ir [A];QoS
08/12/2022 12:00:00 AM;90.027;0
08/12/2022 12:00:30 AM;96.642;0
08/12/2022 12:01:00 AM;96.642;0
08/12/2022 12:01:30 AM;78.2;0
08/12/2022 12:02:00 AM;78.398;0
08/12/2022 12:02:30 AM;80.705;0
08/12/2022 12:03:00 AM;70.167;0
08/12/2022 12:03:30 AM;78.547;0
08/12/2022 12:04:00 AM;78.265;0
08/12/2022 12:04:30 AM;97.492;0
08/12/2022 12:05:00 AM;89.854;0
08/12/2022 12:05:30 AM;89.8;0
08/12/2022 12:06:00 AM;85.045;0
08/12/2022 12:06:30 AM;85.045;0
08/12/2022 12:07:00 AM;86.166;0
08/12/2022 12:07:30 AM;83.932;0
08/12/2022 12:08:00 AM;83.594;0
08/12/2022 12:08:30 AM;77.098;0
08/12/2022 12:09:00 AM;88.07;0
08/12/2022 12:09:30 AM;82.022;0
08/12/2022 12:10:00 AM;90.594;0
08/12/2022 12:10:30 AM;89.187;0
08/12/2022 12:11:00 AM;89.187;0
08/12/2022 12:11:30 AM;89.052;0
08/12/2022 12:12:00 AM;89.052;0
08/12/2022 12:12:30 AM;93.798;0
08/12/2022 12:13:00 AM;93.798;0
08/12/2022 12:13:30 AM;89.843;0
08/12/2022 12:14:00 AM;99.705;0
08/12/2022 12:14:30 AM;101.932;0
08/12/2022 12:15:00 AM;92.429;0
08/12/2022 12:15:30 AM;81.259;0
08/12/2022 12:16:00 AM;82.432;0
08/12/2022 12:16:30 AM;83.27;0
08/12/2022 12:17:00 AM;82.8;0
08/12/2022 12:17:30 AM;85.948;0
08/12/2022 12:18:00 AM;83.598;0
08/12/2022 12:18:30 AM;75.212;0
08/12/2022 12:19:00 AM;87.749;0
08/12/2022 12:19:30 AM;81.319;0
08/12/2022 12:20:00 AM;82.044;0
08/12/2022 12:20:30 AM;86.479;0
08/12/2022 12:21:00 AM;81.957;0
08/12/2022 12:21:30 AM;99.241;0
08/12/2022 12:22:00 AM;87.669;0
08/12/2022 12:22:30 AM;85.459;0
08/12/2022 12:23:00 AM;95.706;0
08/12/2022 12:23:30 AM;96.159;0
08/12/2022 12:24:00 AM;97.276;0
08/12/2022 12:24:30 AM;97.635;0
08/12/2022 12:25:00 AM;107.069;0
08/12/2022 12:25:30 AM;100.264;0
08/12/2022 12:26:00 AM;98.722;0
08/12/2022 12:26:30 AM;100.712;0
08/12/2022 12:27:00 AM;104.174;0
08/12/2022 12:27:30 AM;99.962;0
08/12/2022 12:28:00 AM;100.07;0
08/12/2022 12:28:30 AM;100.104;0
08/12/2022 12:29:00 AM;100.45;0
08/12/2022 12:29:30 AM;107.281;0
08/12/2022 12:30:00 AM;98.627;0
08/12/2022 12:30:30 AM;103.986;0
08/12/2022 12:31:00 AM;95.906;0
08/12/2022 12:31:30 AM;95.906;0
08/12/2022 12:32:00 AM;96.279;0
08/12/2022 12:32:30 AM;93.462;0
08/12/2022 12:33:00 AM;83.347;0
08/12/2022 12:33:30 AM;88.074;0
08/12/2022 12:34:00 AM;82.138;0
08/12/2022 12:34:30 AM;89.43;0
