Timestamp;Power [kW];QoS
08/12/2022 12:00:00 AM;-56.237;0
08/12/2022 12:00:30 AM;-57.7;0
08/12/2022 12:01:00 AM;-54.743;0
08/12/2022 12:01:30 AM;-49.769;0
08/12/2022 12:02:00 AM;-55.116;0
08/12/2022 12:02:30 AM;-55.122;0
08/12/2022 12:03:00 AM;-46.051;0
08/12/2022 12:03:30 AM;-48.195;0
08/12/2022 12:04:00 AM;-48.453;0
08/12/2022 12:04:30 AM;-53.802;0
08/12/2022 12:05:00 AM;-51.479;0
08/12/2022 12:05:30 AM;-50.832;0
08/12/2022 12:06:00 AM;-51.313;0
08/12/2022 12:06:30 AM;-51.247;0
08/12/2022 12:07:00 AM;-50.014;0
08/12/2022 12:07:30 AM;-49.376;0
08/12/2022 12:08:00 AM;-50.07;0
08/12/2022 12:08:30 AM;-48.318;0
08/12/2022 12:09:00 AM;-51.285;0
08/12/2022 12:09:30 AM;-50.126;0
08/12/2022 12:10:00 AM;-52.34;0
08/12/2022 12:10:30 AM;-54.925;0
08/12/2022 12:11:00 AM;-54.408;0
08/12/2022 12:11:30 AM;-54.03;0
08/12/2022 12:12:00 AM;-53.907;0
08/12/2022 12:12:30 AM;-59.881;0
08/12/2022 12:13:00 AM;-53.768;0
08/12/2022 12:13:30 AM;-52.851;0
08/12/2022 12:14:00 AM;-56.028;0
08/12/2022 12:14:30 AM;-54.711;0
08/12/2022 12:15:00 AM;-53.034;0
08/12/2022 12:15:30 AM;-50.356;0
08/12/2022 12:16:00 AM;-57.594;0
08/12/2022 12:16:30 AM;-58.497;0
08/12/2022 12:17:00 AM;-51.925;0
08/12/2022 12:17:30 AM;-52.667;0
08/12/2022 12:18:00 AM;-51.826;0
08/12/2022 12:18:30 AM;-52.636;0
08/12/2022 12:19:00 AM;-51.923;0
08/12/2022 12:19:30 AM;-52.363;0
08/12/2022 12:20:00 AM;-51.333;0
08/12/2022 12:20:30 AM;-52.542;0
08/12/2022 12:21:00 AM;-51.401;0
08/12/2022 12:21:30 AM;-55.911;0
08/12/2022 12:22:00 AM;-53.109;0
08/12/2022 12:22:30 AM;-52.372;0
08/12/2022 12:23:00 AM;-54.933;0
08/12/2022 12:23:30 AM;-54.84;0
08/12/2022 12:24:00 AM;-55.248;0
08/12/2022 12:24:30 AM;-55.6;0
08/12/2022 12:25:00 AM;-56.893;0
08/12/2022 12:25:30 AM;-55.433;0
08/12/2022 12:26:00 AM;-55.713;0
08/12/2022 12:26:30 AM;-56.048;0
08/12/2022 12:27:00 AM;-60.147;0
08/12/2022 12:27:30 AM;-59.256;0
08/12/2022 12:28:00 AM;-59.441;0
08/12/2022 12:28:30 AM;-56.491;0
08/12/2022 12:29:00 AM;-56.419;0
08/12/2022 12:29:30 AM;-63.99;0
08/12/2022 12:30:00 AM;-58.521;0
08/12/2022 12:30:30 AM;-59.05;0
08/12/2022 12:31:00 AM;-62.746;0
08/12/2022 12:31:30 AM;-62.793;0
08/12/2022 12:32:00 AM;-57.663;0
08/12/2022 12:32:30 AM;-57.764;0
08/12/2022 12:33:00 AM;-55.808;0
08/12/2022 12:33:30 AM;-56.945;0
08/12/2022 12:34:00 AM;-54.045;0
08/12/2022 12:34:30 AM;-56.281;0
08/12/2022 12:35:00 AM;-52.847;0
08/12/2022 12:35:30 AM;-56.271;0
08/12/2022 12:36:00 AM;-55.693;0
08/12/2022 12:36:30 AM;-52.555;0
08/12/2022 12:37:00 AM;-51.568;0
08/12/2022 12:37:30 AM;-50.999;0
08/12/2022 12:38:00 AM;-53.24;0
08/12/2022 12:38:30 AM;-53.719;0
08/12/2022 12:39:00 AM;-52.68;0
08/12/2022 12:39:30 AM;-54.923;0
08/12/2022 12:40:00 AM;-60.183;0
08/12/2022 12:40:30 AM;-62.774;0
08/12/2022 12:41:00 AM;-65.47;0
08/12/2022 12:41:30 AM;-63.265;0
08/12/2022 12:42:00 AM;-65.912;0
08/12/2022 12:42:30 AM;-63.82;0
08/12/2022 12:43:00 AM;-64.371;0
08/12/2022 12:43:30 AM;-62.083;0
08/12/2022 12:44:00 AM;-61.772;0
08/12/2022 12:44:30 AM;-56.684;0
08/12/2022 12:45:00 AM;-56.363;0
08/12/2022 12:45:30 AM;-52.091;0
08/12/2022 12:46:00 AM;-58.058;0
08/12/2022 12:46:30 AM;-56.605;0
08/12/2022 12:47:00 AM;-52.317;0
08/12/2022 12:47:30 AM;-48.965;0
08/12/2022 12:48:00 AM;-51.053;0
08/12/2022 12:48:30 AM;-53.973;0
08/12/2022 12:49:00 AM;-51.611;0
08/12/2022 12:49:30 AM;-52.764;0
08/12/2022 12:50:00 AM;-59.136;0
08/12/2022 12:50:30 AM;-53.117;0
08/12/2022 12:51:00 AM;-53.172;0
08/12/2022 12:51:30 AM;-53.83;0
08/12/2022 12:52:00 AM;-53.595;0
08/12/2022 12:52:30 AM;-55.319;0
08/12/2022 12:53:00 AM;-53.097;0
08/12/2022 12:53:30 AM;-52.556;0
08/12/2022 12:54:00 AM;-55.179;0
08/12/2022 12:54:30 AM;-53.797;0
08/12/2022 12:55:00 AM;-51.721;0
08/12/2022 12:55:30 AM;-54.004;0
08/12/2022 12:56:00 AM;-56.198;0
08/12/2022 12:56:30 AM;-56.08;0
08/12/2022 12:57:00 AM;-57.858;0
08/12/2022 12:57:30 AM;-57.209;0
08/12/2022 12:58:00 AM;-57.138;0
08/12/2022 12:58:30 AM;-60.384;0
08/12/2022 12:59:00 AM;-60.377;0
08/12/2022 12:59:30 AM;-57.383;0
08/12/2022 01:00:00 AM;-57.597;0
08/12/2022 01:00:30 AM;-62.546;0
08/12/2022 01:01:00 AM;-61.89;0
08/12/2022 01:01:30 AM;-62.43;0
08/12/2022 01:02:00 AM;-53.426;0
08/12/2022 01:02:30 AM;-53.45;0
08/12/2022 01:03:00 AM;-54.084;0
08/12/2022 01:03:30 AM;-53.688;0
08/12/2022 01:04:00 AM;-53.754;0
08/12/2022 01:04:30 AM;-54.261;0
08/12/2022 01:05:00 AM;-55.367;0
08/12/2022 01:05:30 AM;-55.378;0
08/12/2022 01:06:00 AM;-54.443;0
08/12/2022 01:06:30 AM;-54.703;0
08/12/2022 01:07:00 AM;-54.174;0
08/12/2022 01:07:30 AM;-54.564;0
08/12/2022 01:08:00 AM;-57.576;0
08/12/2022 01:08:30 AM;-52.257;0
08/12/2022 01:09:00 AM;-54.06;0
08/12/2022 01:09:30 AM;-51.794;0
08/12/2022 01:10:00 AM;-51.365;0
08/12/2022 01:10:30 AM;-51.267;0
08/12/2022 01:11:00 AM;-57.211;0
08/12/2022 01:11:30 AM;-53.095;0
08/12/2022 01:12:00 AM;-52.636;0
08/12/2022 01:12:30 AM;-52.694;0
08/12/2022 01:13:00 AM;-50.599;0
08/12/2022 01:13:30 AM;-50.619;0
08/12/2022 01:14:00 AM;-49.798;0
08/12/2022 01:14:30 AM;-54.587;0
08/12/2022 01:15:00 AM;-60.284;0
08/12/2022 01:15:30 AM;-50.536;0
08/12/2022 01:16:00 AM;-50.724;0
08/12/2022 01:16:30 AM;-48.181;0
08/12/2022 01:17:00 AM;-48.065;0
08/12/2022 01:17:30 AM;-51.359;0
08/12/2022 01:18:00 AM;-51.113;0
08/12/2022 01:18:30 AM;-46.469;0
08/12/2022 01:19:00 AM;-46.265;0
08/12/2022 01:19:30 AM;-45.759;0
08/12/2022 01:20:00 AM;-45.668;0
08/12/2022 01:20:30 AM;-45.634;0
08/12/2022 01:21:00 AM;-45.441;0
08/12/2022 01:21:30 AM;-45.644;0
08/12/2022 01:22:00 AM;-46.155;0
08/12/2022 01:22:30 AM;-46.187;0
08/12/2022 01:23:00 AM;-45.645;0
08/12/2022 01:23:30 AM;-47.361;0
08/12/2022 01:24:00 AM;-51.38;0
08/12/2022 01:24:30 AM;-51.111;0
08/12/2022 01:25:00 AM;-51.266;0
08/12/2022 01:25:30 AM;-51.328;0
08/12/2022 01:26:00 AM;-50.501;0
08/12/2022 01:26:30 AM;-47.108;0
08/12/2022 01:27:00 AM;-47.984;0
08/12/2022 01:27:30 AM;-47.639;0
08/12/2022 01:28:00 AM;-47.809;0
08/12/2022 01:28:30 AM;-56.994;0
08/12/2022 01:29:00 AM;-61.199;0
08/12/2022 01:29:30 AM;-50.08;0
08/12/2022 01:30:00 AM;-53.733;0
08/12/2022 01:30:30 AM;-54.054;0
08/12/2022 01:31:00 AM;-43.188;0
08/12/2022 01:31:30 AM;-43.291;0
08/12/2022 01:32:00 AM;-43.305;0
08/12/2022 01:32:30 AM;-43.346;0
08/12/2022 01:33:00 AM;-45.169;0
08/12/2022 01:33:30 AM;-45.233;0
08/12/2022 01:34:00 AM;-46.506;0
08/12/2022 01:34:30 AM;-47.042;0
08/12/2022 01:35:00 AM;-47.682;0
08/12/2022 01:35:30 AM;-47.563;0
08/12/2022 01:36:00 AM;-47.367;0
08/12/2022 01:36:30 AM;-47.097;0
08/12/2022 01:37:00 AM;-46.382;0
08/12/2022 01:37:30 AM;-51.696;0
08/12/2022 01:38:00 AM;-49.534;0
08/12/2022 01:38:30 AM;-49.456;0
08/12/2022 01:39:00 AM;-51.025;0
08/12/2022 01:39:30 AM;-50.598;0
08/12/2022 01:40:00 AM;-50.571;0
08/12/2022 01:40:30 AM;-50.555;0
08/12/2022 01:41:00 AM;-49.376;0
08/12/2022 01:41:30 AM;-50.304;0
08/12/2022 01:42:00 AM;-53.297;0
08/12/2022 01:42:30 AM;-54.403;0
08/12/2022 01:43:00 AM;-59.415;0
08/12/2022 01:43:30 AM;-55.48;0
08/12/2022 01:44:00 AM;-51.461;0
08/12/2022 01:44:30 AM;-48.997;0
08/12/2022 01:45:00 AM;-49.581;0
08/12/2022 01:45:30 AM;-50.444;0
08/12/2022 01:46:00 AM;-48.313;0
08/12/2022 01:46:30 AM;-51.556;0
08/12/2022 01:47:00 AM;-49.951;0
08/12/2022 01:47:30 AM;-51.233;0
08/12/2022 01:48:00 AM;-48.048;0
08/12/2022 01:48:30 AM;-48.094;0
08/12/2022 01:49:00 AM;-47.642;0
08/12/2022 01:49:30 AM;-57.602;0
08/12/2022 01:50:00 AM;-53.288;0
08/12/2022 01:50:30 AM;-55.228;0
08/12/2022 01:51:00 AM;-57.828;0
08/12/2022 01:51:30 AM;-55.968;0
08/12/2022 01:52:00 AM;-56.582;0
08/12/2022 01:52:30 AM;-56.171;0
08/12/2022 01:53:00 AM;-56.334;0
08/12/2022 01:53:30 AM;-54.808;0
08/12/2022 01:54:00 AM;-52.122;0
08/12/2022 01:54:30 AM;-52.455;0
08/12/2022 01:55:00 AM;-55.442;0
08/12/2022 01:55:30 AM;-53.859;0
08/12/2022 01:56:00 AM;-55.156;0
08/12/2022 01:56:30 AM;-54.051;0
08/12/2022 01:57:00 AM;-57.578;0
08/12/2022 01:57:30 AM;-58.374;0
08/12/2022 01:58:00 AM;-61.239;0
08/12/2022 01:58:30 AM;-53.234;0
08/12/2022 01:59:00 AM;-50.262;0
08/12/2022 01:59:30 AM;-50.323;0
08/12/2022 02:00:00 AM;-48.815;0
08/12/2022 02:00:30 AM;-48.612;0
08/12/2022 02:01:00 AM;-49.086;0
08/12/2022 02:01:30 AM;-47.421;0
08/12/2022 02:02:00 AM;-46.489;0
08/12/2022 02:02:30 AM;-46.922;0
08/12/2022 02:03:00 AM;-46.302;0
08/12/2022 02:03:30 AM;-46.947;0
08/12/2022 02:04:00 AM;-49.205;0
08/12/2022 02:04:30 AM;-49.062;0
08/12/2022 02:05:00 AM;-51.943;0
08/12/2022 02:05:30 AM;-51.819;0
08/12/2022 02:06:00 AM;-51.554;0
08/12/2022 02:06:30 AM;-51.039;0
08/12/2022 02:07:00 AM;-51.799;0
08/12/2022 02:07:30 AM;-57.235;0
08/12/2022 02:08:00 AM;-48.39;0
08/12/2022 02:08:30 AM;-48.286;0
08/12/2022 02:09:00 AM;-48.147;0
08/12/2022 02:09:30 AM;-47.914;0
08/12/2022 02:10:00 AM;-48.038;0
08/12/2022 02:10:30 AM;-50.652;0
08/12/2022 02:11:00 AM;-47.936;0
08/12/2022 02:11:30 AM;-54.706;0
08/12/2022 02:12:00 AM;-55.525;0
08/12/2022 02:12:30 AM;-48.74;0
08/12/2022 02:13:00 AM;-48.472;0
08/12/2022 02:13:30 AM;-48.421;0
08/12/2022 02:14:00 AM;-48.447;0
08/12/2022 02:14:30 AM;-48.273;0
08/12/2022 02:15:00 AM;-47.796;0
08/12/2022 02:15:30 AM;-46.115;0
08/12/2022 02:16:00 AM;-44.271;0
08/12/2022 02:16:30 AM;-43.929;0
08/12/2022 02:17:00 AM;-46.141;0
08/12/2022 02:17:30 AM;-46.313;0
08/12/2022 02:18:00 AM;-46.212;0
08/12/2022 02:18:30 AM;-49.466;0
08/12/2022 02:19:00 AM;-46.133;0
08/12/2022 02:19:30 AM;-46.248;0
08/12/2022 02:20:00 AM;-46.278;0
08/12/2022 02:20:30 AM;-46.336;0
08/12/2022 02:21:00 AM;-48.088;0
08/12/2022 02:21:30 AM;-47.363;0
08/12/2022 02:22:00 AM;-47.938;0
08/12/2022 02:22:30 AM;-48.016;0
08/12/2022 02:23:00 AM;-45.552;0
08/12/2022 02:23:30 AM;-47.016;0
08/12/2022 02:24:00 AM;-45.716;0
08/12/2022 02:24:30 AM;-51.538;0
08/12/2022 02:25:00 AM;-47.395;0
08/12/2022 02:25:30 AM;-46.927;0
08/12/2022 02:26:00 AM;-52.706;0
08/12/2022 02:26:30 AM;-54.613;0
08/12/2022 02:27:00 AM;-48.829;0
08/12/2022 02:27:30 AM;-50.316;0
08/12/2022 02:28:00 AM;-49.479;0
08/12/2022 02:28:30 AM;-48.158;0
08/12/2022 02:29:00 AM;-51.338;0
08/12/2022 02:29:30 AM;-51.34;0
08/12/2022 02:30:00 AM;-50.497;0
08/12/2022 02:30:30 AM;-51.285;0
08/12/2022 02:31:00 AM;-55.06;0
08/12/2022 02:31:30 AM;-51.78;0
08/12/2022 02:32:00 AM;-51.615;0
08/12/2022 02:32:30 AM;-51.628;0
08/12/2022 02:33:00 AM;-50.219;0
08/12/2022 02:33:30 AM;-50.41;0
08/12/2022 02:34:00 AM;-51.456;0
08/12/2022 02:34:30 AM;-53.754;0
08/12/2022 02:35:00 AM;-49.907;0
08/12/2022 02:35:30 AM;-50.539;0
08/12/2022 02:36:00 AM;-48.792;0
08/12/2022 02:36:30 AM;-48.907;0
08/12/2022 02:37:00 AM;-49.54;0
08/12/2022 02:37:30 AM;-49.378;0
08/12/2022 02:38:00 AM;-46.947;0
08/12/2022 02:38:30 AM;-48.797;0
08/12/2022 02:39:00 AM;-48.818;0
08/12/2022 02:39:30 AM;-49.028;0
08/12/2022 02:40:00 AM;-55.078;0
08/12/2022 02:40:30 AM;-57.085;0
08/12/2022 02:41:00 AM;-50.071;0
08/12/2022 02:41:30 AM;-50.112;0
08/12/2022 02:42:00 AM;-49.977;0
08/12/2022 02:42:30 AM;-51.375;0
08/12/2022 02:43:00 AM;-56.236;0
08/12/2022 02:43:30 AM;-53.776;0
08/12/2022 02:44:00 AM;-47.484;0
08/12/2022 02:44:30 AM;-51.461;0
08/12/2022 02:45:00 AM;-51.208;0
08/12/2022 02:45:30 AM;-48.583;0
08/12/2022 02:46:00 AM;-48.613;0
08/12/2022 02:46:30 AM;-49.752;0
08/12/2022 02:47:00 AM;-49.944;0
08/12/2022 02:47:30 AM;-48.314;0
08/12/2022 02:48:00 AM;-49.295;0
08/12/2022 02:48:30 AM;-48.889;0
08/12/2022 02:49:00 AM;-48.653;0
08/12/2022 02:49:30 AM;-52.5;0
08/12/2022 02:50:00 AM;-48.768;0
08/12/2022 02:50:30 AM;-48.853;0
08/12/2022 02:51:00 AM;-48.657;0
08/12/2022 02:51:30 AM;-51.664;0
08/12/2022 02:52:00 AM;-52.213;0
08/12/2022 02:52:30 AM;-53.819;0
08/12/2022 02:53:00 AM;-53.353;0
08/12/2022 02:53:30 AM;-53.463;0
08/12/2022 02:54:00 AM;-50.911;0
08/12/2022 02:54:30 AM;-60.33;0
08/12/2022 02:55:00 AM;-56.818;0
08/12/2022 02:55:30 AM;-50.431;0
08/12/2022 02:56:00 AM;-50.355;0
08/12/2022 02:56:30 AM;-50.504;0
08/12/2022 02:57:00 AM;-50.702;0
08/12/2022 02:57:30 AM;-51.858;0
08/12/2022 02:58:00 AM;-46.813;0
08/12/2022 02:58:30 AM;-47.254;0
08/12/2022 02:59:00 AM;-47.381;0
08/12/2022 02:59:30 AM;-48.846;0
08/12/2022 03:00:00 AM;-48.561;0
08/12/2022 03:00:30 AM;-47.135;0
08/12/2022 03:01:00 AM;-47.627;0
08/12/2022 03:01:30 AM;-48.197;0
08/12/2022 03:02:00 AM;-48.547;0
08/12/2022 03:02:30 AM;-48.995;0
08/12/2022 03:03:00 AM;-57.028;0
08/12/2022 03:03:30 AM;-52.933;0
08/12/2022 03:04:00 AM;-53.069;0
08/12/2022 03:04:30 AM;-56.066;0
08/12/2022 03:05:00 AM;-54.021;0
08/12/2022 03:05:30 AM;-58.002;0
08/12/2022 03:06:00 AM;-50.256;0
08/12/2022 03:06:30 AM;-50.85;0
08/12/2022 03:07:00 AM;-50.855;0
08/12/2022 03:07:30 AM;-50.047;0
08/12/2022 03:08:00 AM;-49.722;0
08/12/2022 03:08:30 AM;-50.133;0
08/12/2022 03:09:00 AM;-54.72;0
08/12/2022 03:09:30 AM;-54.568;0
08/12/2022 03:10:00 AM;-49.868;0
08/12/2022 03:10:30 AM;-48.924;0
08/12/2022 03:11:00 AM;-48.861;0
08/12/2022 03:11:30 AM;-47.532;0
08/12/2022 03:12:00 AM;-49.915;0
08/12/2022 03:12:30 AM;-45.93;0
08/12/2022 03:13:00 AM;-46.204;0
08/12/2022 03:13:30 AM;-54.325;0
08/12/2022 03:14:00 AM;-48.575;0
08/12/2022 03:14:30 AM;-52.24;0
08/12/2022 03:15:00 AM;-50.567;0
08/12/2022 03:15:30 AM;-50.777;0
08/12/2022 03:16:00 AM;-53.421;0
08/12/2022 03:16:30 AM;-50.432;0
08/12/2022 03:17:00 AM;-50.336;0
08/12/2022 03:17:30 AM;-50.478;0
08/12/2022 03:18:00 AM;-50.624;0
08/12/2022 03:18:30 AM;-50.749;0
08/12/2022 03:19:00 AM;-49.978;0
08/12/2022 03:19:30 AM;-47.696;0
08/12/2022 03:20:00 AM;-45.771;0
08/12/2022 03:20:30 AM;-45.616;0
08/12/2022 03:21:00 AM;-46.178;0
08/12/2022 03:21:30 AM;-45.918;0
08/12/2022 03:22:00 AM;-49.891;0
08/12/2022 03:22:30 AM;-44.817;0
08/12/2022 03:23:00 AM;-48.787;0
08/12/2022 03:23:30 AM;-48.631;0
08/12/2022 03:24:00 AM;-50.436;0
08/12/2022 03:24:30 AM;-43.49;0
08/12/2022 03:25:00 AM;-43.062;0
08/12/2022 03:25:30 AM;-43.398;0
08/12/2022 03:26:00 AM;-43.167;0
08/12/2022 03:26:30 AM;-43.093;0
08/12/2022 03:27:00 AM;-48.247;0
08/12/2022 03:27:30 AM;-47.057;0
08/12/2022 03:28:00 AM;-47.098;0
08/12/2022 03:28:30 AM;-47.261;0
08/12/2022 03:29:00 AM;-47.143;0
08/12/2022 03:29:30 AM;-47.51;0
08/12/2022 03:30:00 AM;-49.557;0
08/12/2022 03:30:30 AM;-49.784;0
08/12/2022 03:31:00 AM;-48.314;0
08/12/2022 03:31:30 AM;-48.372;0
08/12/2022 03:32:00 AM;-48.966;0
08/12/2022 03:32:30 AM;-49.06;0
08/12/2022 03:33:00 AM;-49.628;0
08/12/2022 03:33:30 AM;-47.233;0
08/12/2022 03:34:00 AM;-46.938;0
08/12/2022 03:34:30 AM;-46.456;0
08/12/2022 03:35:00 AM;-45.962;0
08/12/2022 03:35:30 AM;-45.528;0
08/12/2022 03:36:00 AM;-50.181;0
08/12/2022 03:36:30 AM;-46.264;0
08/12/2022 03:37:00 AM;-46.122;0
08/12/2022 03:37:30 AM;-52.413;0
08/12/2022 03:38:00 AM;-52.693;0
08/12/2022 03:38:30 AM;-49.83;0
08/12/2022 03:39:00 AM;-45.204;0
08/12/2022 03:39:30 AM;-45.338;0
08/12/2022 03:40:00 AM;-47.477;0
08/12/2022 03:40:30 AM;-53.247;0
08/12/2022 03:41:00 AM;-54.397;0
08/12/2022 03:41:30 AM;-54.557;0
08/12/2022 03:42:00 AM;-54.681;0
08/12/2022 03:42:30 AM;-55.764;0
08/12/2022 03:43:00 AM;-52.673;0
08/12/2022 03:43:30 AM;-52.852;0
08/12/2022 03:44:00 AM;-53.205;0
08/12/2022 03:44:30 AM;-52.88;0
08/12/2022 03:45:00 AM;-52.926;0
08/12/2022 03:45:30 AM;-55.658;0
08/12/2022 03:46:00 AM;-55.577;0
08/12/2022 03:46:30 AM;-55.684;0
08/12/2022 03:47:00 AM;-48.717;0
08/12/2022 03:47:30 AM;-50.557;0
08/12/2022 03:48:00 AM;-47.763;0
08/12/2022 03:48:30 AM;-47.558;0
08/12/2022 03:49:00 AM;-47.801;0
08/12/2022 03:49:30 AM;-48.058;0
08/12/2022 03:50:00 AM;-48.078;0
08/12/2022 03:50:30 AM;-47.27;0
08/12/2022 03:51:00 AM;-47.503;0
08/12/2022 03:51:30 AM;-47.454;0
08/12/2022 03:52:00 AM;-54.243;0
08/12/2022 03:52:30 AM;-56.21;0
08/12/2022 03:53:00 AM;-50.275;0
08/12/2022 03:53:30 AM;-52.467;0
08/12/2022 03:54:00 AM;-52.702;0
08/12/2022 03:54:30 AM;-59.893;0
08/12/2022 03:55:00 AM;-52.284;0
08/12/2022 03:55:30 AM;-53.256;0
08/12/2022 03:56:00 AM;-55.754;0
08/12/2022 03:56:30 AM;-56.13;0
08/12/2022 03:57:00 AM;-54.49;0
08/12/2022 03:57:30 AM;-59.796;0
08/12/2022 03:58:00 AM;-59.715;0
08/12/2022 03:58:30 AM;-59.036;0
08/12/2022 03:59:00 AM;-61.291;0
08/12/2022 03:59:30 AM;-50.9;0
08/12/2022 04:00:00 AM;-51.335;0
08/12/2022 04:00:30 AM;-51.874;0
08/12/2022 04:01:00 AM;-50.664;0
08/12/2022 04:01:30 AM;-46.918;0
08/12/2022 04:02:00 AM;-46.794;0
08/12/2022 04:02:30 AM;-46.594;0
08/12/2022 04:03:00 AM;-44.295;0
08/12/2022 04:03:30 AM;-44.399;0
08/12/2022 04:04:00 AM;-44.307;0
08/12/2022 04:04:30 AM;-45.629;0
08/12/2022 04:05:00 AM;-49.691;0
08/12/2022 04:05:30 AM;-48.13;0
08/12/2022 04:06:00 AM;-47.92;0
