Timestamp;Current Ir [A];QoS
08/12/2022 12:00:00 AM;63.52;0
08/12/2022 12:00:30 AM;63.361;0
08/12/2022 12:01:00 AM;64.081;0
08/12/2022 12:01:30 AM;64.065;0
08/12/2022 12:02:00 AM;64.833;0
08/12/2022 12:02:30 AM;63.494;0
08/12/2022 12:03:00 AM;62.186;0
08/12/2022 12:03:30 AM;62.454;0
08/12/2022 12:04:00 AM;62.842;0
08/12/2022 12:04:30 AM;63.381;0
08/12/2022 12:05:00 AM;63.804;0
08/12/2022 12:05:30 AM;62.85;0
08/12/2022 12:06:00 AM;61.88;0
08/12/2022 12:06:30 AM;62.415;0
08/12/2022 12:07:00 AM;64.453;0
08/12/2022 12:07:30 AM;65.325;0
08/12/2022 12:08:00 AM;63.023;0
08/12/2022 12:08:30 AM;62.89;0
08/12/2022 12:09:00 AM;62.625;0
08/12/2022 12:09:30 AM;62.253;0
08/12/2022 12:10:00 AM;62.146;0
08/12/2022 12:10:30 AM;62.575;0
08/12/2022 12:11:00 AM;61.691;0
08/12/2022 12:11:30 AM;62.187;0
08/12/2022 12:12:00 AM;61.934;0
08/12/2022 12:12:30 AM;62.277;0
08/12/2022 12:13:00 AM;61.731;0
08/12/2022 12:13:30 AM;62.591;0
08/12/2022 12:14:00 AM;62.786;0
08/12/2022 12:14:30 AM;63.345;0
08/12/2022 12:15:00 AM;64.355;0
08/12/2022 12:15:30 AM;65.44;0
08/12/2022 12:16:00 AM;64.945;0
08/12/2022 12:16:30 AM;66.095;0
08/12/2022 12:17:00 AM;64.391;0
08/12/2022 12:17:30 AM;64.005;0
08/12/2022 12:18:00 AM;61.873;0
08/12/2022 12:18:30 AM;62.899;0
08/12/2022 12:19:00 AM;62.47;0
08/12/2022 12:19:30 AM;63.348;0
08/12/2022 12:20:00 AM;62.686;0
08/12/2022 12:20:30 AM;63.268;0
08/12/2022 12:21:00 AM;63.031;0
08/12/2022 12:21:30 AM;63.646;0
08/12/2022 12:22:00 AM;63.374;0
08/12/2022 12:22:30 AM;62.944;0
08/12/2022 12:23:00 AM;63.323;0
08/12/2022 12:23:30 AM;63.735;0
08/12/2022 12:24:00 AM;62.981;0
08/12/2022 12:24:30 AM;62.741;0
08/12/2022 12:25:00 AM;62.846;0
08/12/2022 12:25:30 AM;62.597;0
08/12/2022 12:26:00 AM;62.24;0
08/12/2022 12:26:30 AM;62.622;0
08/12/2022 12:27:00 AM;61.287;0
08/12/2022 12:27:30 AM;60.992;0
08/12/2022 12:28:00 AM;60.726;0
08/12/2022 12:28:30 AM;61.326;0
08/12/2022 12:29:00 AM;61.432;0
08/12/2022 12:29:30 AM;61.692;0
08/12/2022 12:30:00 AM;61.123;0
