Timestamp;Power [kW];QoS
08/12/2022 12:00:00 AM;1245.323;0
08/12/2022 12:00:30 AM;1245.737;0
08/12/2022 12:01:00 AM;1258.567;0
08/12/2022 12:01:30 AM;1250.557;0
08/12/2022 12:02:00 AM;1266.497;0
08/12/2022 12:02:30 AM;1231.25;0
08/12/2022 12:03:00 AM;1212.416;0
08/12/2022 12:03:30 AM;1217.665;0
08/12/2022 12:04:00 AM;1230.578;0
08/12/2022 12:04:30 AM;1237.187;0
08/12/2022 12:05:00 AM;1246.052;0
08/12/2022 12:05:30 AM;1226.086;0
08/12/2022 12:06:00 AM;1215.123;0
08/12/2022 12:06:30 AM;1226.115;0
08/12/2022 12:07:00 AM;1271.625;0
08/12/2022 12:07:30 AM;1286.654;0
08/12/2022 12:08:00 AM;1245.082;0
08/12/2022 12:08:30 AM;1244.771;0
08/12/2022 12:09:00 AM;1247.667;0
08/12/2022 12:09:30 AM;1237.515;0
08/12/2022 12:10:00 AM;1231.439;0
08/12/2022 12:10:30 AM;1239.003;0
08/12/2022 12:11:00 AM;1220.48;0
08/12/2022 12:11:30 AM;1224.897;0
08/12/2022 12:12:00 AM;1220.648;0
08/12/2022 12:12:30 AM;1230.273;0
08/12/2022 12:13:00 AM;1227.126;0
08/12/2022 12:13:30 AM;1237.552;0
08/12/2022 12:14:00 AM;1236.33;0
08/12/2022 12:14:30 AM;1237.299;0
08/12/2022 12:15:00 AM;1256.977;0
08/12/2022 12:15:30 AM;1272.464;0
08/12/2022 12:16:00 AM;1256.845;0
08/12/2022 12:16:30 AM;1279.531;0
08/12/2022 12:17:00 AM;1257.549;0
08/12/2022 12:17:30 AM;1254.28;0
08/12/2022 12:18:00 AM;1209.275;0
08/12/2022 12:18:30 AM;1230.205;0
08/12/2022 12:19:00 AM;1216.717;0
08/12/2022 12:19:30 AM;1227.303;0
08/12/2022 12:20:00 AM;1213.58;0
08/12/2022 12:20:30 AM;1231.214;0
08/12/2022 12:21:00 AM;1224.063;0
08/12/2022 12:21:30 AM;1234.799;0
08/12/2022 12:22:00 AM;1245.219;0
08/12/2022 12:22:30 AM;1228.379;0
08/12/2022 12:23:00 AM;1240.869;0
08/12/2022 12:23:30 AM;1243.231;0
08/12/2022 12:24:00 AM;1234.511;0
08/12/2022 12:24:30 AM;1227.45;0
08/12/2022 12:25:00 AM;1234.725;0
08/12/2022 12:25:30 AM;1225.693;0
08/12/2022 12:26:00 AM;1230.3;0
08/12/2022 12:26:30 AM;1233.172;0
08/12/2022 12:27:00 AM;1208.799;0
08/12/2022 12:27:30 AM;1199.2;0
08/12/2022 12:28:00 AM;1199.091;0
08/12/2022 12:28:30 AM;1200.908;0
08/12/2022 12:29:00 AM;1198.462;0
08/12/2022 12:29:30 AM;1204.803;0
08/12/2022 12:30:00 AM;1200.687;0
08/12/2022 12:30:30 AM;1211.054;0
08/12/2022 12:31:00 AM;1215.521;0
08/12/2022 12:31:30 AM;1208.287;0
08/12/2022 12:32:00 AM;1198.322;0
08/12/2022 12:32:30 AM;1200.724;0
08/12/2022 12:33:00 AM;1188.459;0
08/12/2022 12:33:30 AM;1188.809;0
08/12/2022 12:34:00 AM;1177.591;0
08/12/2022 12:34:30 AM;1166.745;0
08/12/2022 12:35:00 AM;1161.727;0
08/12/2022 12:35:30 AM;1128.944;0
08/12/2022 12:36:00 AM;1167.958;0
08/12/2022 12:36:30 AM;1185.022;0
08/12/2022 12:37:00 AM;1221.956;0
08/12/2022 12:37:30 AM;1425.172;0
08/12/2022 12:38:00 AM;1216.219;0
08/12/2022 12:38:30 AM;1229.018;0
08/12/2022 12:39:00 AM;1223.435;0
08/12/2022 12:39:30 AM;1233.343;0
08/12/2022 12:40:00 AM;1266.047;0
08/12/2022 12:40:30 AM;1234.507;0
08/12/2022 12:41:00 AM;1218.106;0
08/12/2022 12:41:30 AM;1225.952;0
