Timestamp;Power [kW];QoS
08/12/2022 12:00:00 AM;-11.92;0
08/12/2022 12:00:30 AM;-11.888;0
08/12/2022 12:01:00 AM;-11.892;0
08/12/2022 12:01:30 AM;-11.894;0
08/12/2022 12:02:00 AM;-11.921;0
08/12/2022 12:02:30 AM;-11.881;0
08/12/2022 12:03:00 AM;-11.71;0
08/12/2022 12:03:30 AM;-11.776;0
08/12/2022 12:04:00 AM;-11.913;0
08/12/2022 12:04:30 AM;-11.929;0
08/12/2022 12:05:00 AM;-11.955;0
08/12/2022 12:05:30 AM;-11.929;0
08/12/2022 12:06:00 AM;-11.95;0
08/12/2022 12:06:30 AM;-11.908;0
08/12/2022 12:07:00 AM;-11.932;0
08/12/2022 12:07:30 AM;-11.951;0
08/12/2022 12:08:00 AM;-11.929;0
08/12/2022 12:08:30 AM;-11.727;0
08/12/2022 12:09:00 AM;-11.808;0
08/12/2022 12:09:30 AM;-11.964;0
08/12/2022 12:10:00 AM;-11.991;0
08/12/2022 12:10:30 AM;-11.984;0
08/12/2022 12:11:00 AM;-11.983;0
08/12/2022 12:11:30 AM;-11.964;0
08/12/2022 12:12:00 AM;-11.958;0
08/12/2022 12:12:30 AM;-11.972;0
08/12/2022 12:13:00 AM;-11.951;0
08/12/2022 12:13:30 AM;-11.866;0
08/12/2022 12:14:00 AM;-11.708;0
08/12/2022 12:14:30 AM;-11.668;0
08/12/2022 12:15:00 AM;-11.929;0
08/12/2022 12:15:30 AM;-11.959;0
08/12/2022 12:16:00 AM;-11.979;0
08/12/2022 12:16:30 AM;-11.965;0
08/12/2022 12:17:00 AM;-11.935;0
08/12/2022 12:17:30 AM;-11.939;0
08/12/2022 12:18:00 AM;-11.961;0
08/12/2022 12:18:30 AM;-11.921;0
08/12/2022 12:19:00 AM;-11.799;0
08/12/2022 12:19:30 AM;-11.667;0
08/12/2022 12:20:00 AM;-11.606;0
08/12/2022 12:20:30 AM;-9.47;0
08/12/2022 12:21:00 AM;-8.871;0
08/12/2022 12:21:30 AM;-8.856;0
08/12/2022 12:22:00 AM;-8.863;0
08/12/2022 12:22:30 AM;-8.858;0
08/12/2022 12:23:00 AM;-8.874;0
08/12/2022 12:23:30 AM;-8.856;0
08/12/2022 12:24:00 AM;-8.867;0
08/12/2022 12:24:30 AM;-12.114;0
08/12/2022 12:25:00 AM;-13.489;0
08/12/2022 12:25:30 AM;-14.034;0
08/12/2022 12:26:00 AM;-14.123;0
08/12/2022 12:26:30 AM;-14.11;0
08/12/2022 12:27:00 AM;-14.085;0
08/12/2022 12:27:30 AM;-14.104;0
08/12/2022 12:28:00 AM;-14.037;0
08/12/2022 12:28:30 AM;-14.048;0
08/12/2022 12:29:00 AM;-14.115;0
08/12/2022 12:29:30 AM;-13.863;0
08/12/2022 12:30:00 AM;-13.616;0
08/12/2022 12:30:30 AM;-13.25;0
08/12/2022 12:31:00 AM;-13.127;0
08/12/2022 12:31:30 AM;-12.98;0
08/12/2022 12:32:00 AM;-12.667;0
08/12/2022 12:32:30 AM;-12.607;0
08/12/2022 12:33:00 AM;-12.524;0
08/12/2022 12:33:30 AM;-12.503;0
08/12/2022 12:34:00 AM;-12.466;0
08/12/2022 12:34:30 AM;-12.468;0
08/12/2022 12:35:00 AM;-12.433;0
08/12/2022 12:35:30 AM;-12.422;0
08/12/2022 12:36:00 AM;-12.413;0
08/12/2022 12:36:30 AM;-12.401;0
08/12/2022 12:37:00 AM;-12.39;0
08/12/2022 12:37:30 AM;-12.39;0
08/12/2022 12:38:00 AM;-12.4;0
08/12/2022 12:38:30 AM;-12.386;0
08/12/2022 12:39:00 AM;-12.38;0
08/12/2022 12:39:30 AM;-12.395;0
08/12/2022 12:40:00 AM;-12.399;0
08/12/2022 12:40:30 AM;-12.361;0
08/12/2022 12:41:00 AM;-12.403;0
08/12/2022 12:41:30 AM;-12.221;0
08/12/2022 12:42:00 AM;-8.737;0
08/12/2022 12:42:30 AM;-8.73;0
08/12/2022 12:43:00 AM;-8.736;0
08/12/2022 12:43:30 AM;-8.733;0
08/12/2022 12:44:00 AM;-8.731;0
08/12/2022 12:44:30 AM;-8.744;0
08/12/2022 12:45:00 AM;-8.727;0
08/12/2022 12:45:30 AM;-8.736;0
08/12/2022 12:46:00 AM;-8.743;0
08/12/2022 12:46:30 AM;-8.745;0
08/12/2022 12:47:00 AM;-8.726;0
08/12/2022 12:47:30 AM;-8.734;0
08/12/2022 12:48:00 AM;-8.752;0
08/12/2022 12:48:30 AM;-8.748;0
08/12/2022 12:49:00 AM;-8.732;0
08/12/2022 12:49:30 AM;-8.745;0
08/12/2022 12:50:00 AM;-8.742;0
08/12/2022 12:50:30 AM;-8.73;0
08/12/2022 12:51:00 AM;-8.719;0
08/12/2022 12:51:30 AM;-8.747;0
08/12/2022 12:52:00 AM;-8.74;0
08/12/2022 12:52:30 AM;-8.73;0
08/12/2022 12:53:00 AM;-8.739;0
08/12/2022 12:53:30 AM;-8.737;0
08/12/2022 12:54:00 AM;-8.735;0
08/12/2022 12:54:30 AM;-8.72;0
08/12/2022 12:55:00 AM;-8.734;0
08/12/2022 12:55:30 AM;-8.741;0
08/12/2022 12:56:00 AM;-8.743;0
08/12/2022 12:56:30 AM;-8.721;0
08/12/2022 12:57:00 AM;-8.711;0
08/12/2022 12:57:30 AM;-8.682;0
08/12/2022 12:58:00 AM;-8.694;0
08/12/2022 12:58:30 AM;-8.688;0
08/12/2022 12:59:00 AM;-8.685;0
08/12/2022 12:59:30 AM;-8.678;0
08/12/2022 01:00:00 AM;-8.677;0
08/12/2022 01:00:30 AM;-8.664;0
08/12/2022 01:01:00 AM;-8.678;0
08/12/2022 01:01:30 AM;-8.685;0
08/12/2022 01:02:00 AM;-8.682;0
08/12/2022 01:02:30 AM;-8.705;0
08/12/2022 01:03:00 AM;-8.72;0
08/12/2022 01:03:30 AM;-8.716;0
08/12/2022 01:04:00 AM;-8.722;0
08/12/2022 01:04:30 AM;-8.713;0
08/12/2022 01:05:00 AM;-8.703;0
08/12/2022 01:05:30 AM;-8.722;0
08/12/2022 01:06:00 AM;-8.74;0
08/12/2022 01:06:30 AM;-8.75;0
08/12/2022 01:07:00 AM;-8.753;0
08/12/2022 01:07:30 AM;-8.757;0
08/12/2022 01:08:00 AM;-8.763;0
08/12/2022 01:08:30 AM;-8.764;0
08/12/2022 01:09:00 AM;-8.751;0
08/12/2022 01:09:30 AM;-8.755;0
08/12/2022 01:10:00 AM;-8.76;0
08/12/2022 01:10:30 AM;-8.749;0
08/12/2022 01:11:00 AM;-8.745;0
08/12/2022 01:11:30 AM;-8.766;0
08/12/2022 01:12:00 AM;-8.761;0
08/12/2022 01:12:30 AM;-8.77;0
08/12/2022 01:13:00 AM;-8.765;0
08/12/2022 01:13:30 AM;-8.756;0
08/12/2022 01:14:00 AM;-8.759;0
08/12/2022 01:14:30 AM;-8.761;0
08/12/2022 01:15:00 AM;-8.773;0
08/12/2022 01:15:30 AM;-8.762;0
08/12/2022 01:16:00 AM;-8.762;0
08/12/2022 01:16:30 AM;-8.766;0
08/12/2022 01:17:00 AM;-8.815;0
08/12/2022 01:17:30 AM;-8.8;0
08/12/2022 01:18:00 AM;-8.807;0
08/12/2022 01:18:30 AM;-8.806;0
08/12/2022 01:19:00 AM;-8.891;0
08/12/2022 01:19:30 AM;-8.936;0
08/12/2022 01:20:00 AM;-8.938;0
08/12/2022 01:20:30 AM;-8.939;0
08/12/2022 01:21:00 AM;-8.93;0
08/12/2022 01:21:30 AM;-8.939;0
08/12/2022 01:22:00 AM;-12.174;0
08/12/2022 01:22:30 AM;-13.632;0
08/12/2022 01:23:00 AM;-14.009;0
08/12/2022 01:23:30 AM;-14.196;0
08/12/2022 01:24:00 AM;-14.188;0
08/12/2022 01:24:30 AM;-14.294;0
08/12/2022 01:25:00 AM;-14.273;0
08/12/2022 01:25:30 AM;-14.092;0
08/12/2022 01:26:00 AM;-14.319;0
08/12/2022 01:26:30 AM;-14.332;0
08/12/2022 01:27:00 AM;-14.215;0
08/12/2022 01:27:30 AM;-14.263;0
08/12/2022 01:28:00 AM;-13.83;0
08/12/2022 01:28:30 AM;-13.777;0
08/12/2022 01:29:00 AM;-13.76;0
08/12/2022 01:29:30 AM;-13.196;0
08/12/2022 01:30:00 AM;-13.162;0
08/12/2022 01:30:30 AM;-12.967;0
08/12/2022 01:31:00 AM;-12.721;0
08/12/2022 01:31:30 AM;-12.673;0
08/12/2022 01:32:00 AM;-12.635;0
08/12/2022 01:32:30 AM;-12.617;0
08/12/2022 01:33:00 AM;-12.609;0
08/12/2022 01:33:30 AM;-12.581;0
08/12/2022 01:34:00 AM;-12.583;0
08/12/2022 01:34:30 AM;-12.581;0
08/12/2022 01:35:00 AM;-12.579;0
08/12/2022 01:35:30 AM;-12.551;0
08/12/2022 01:36:00 AM;-12.548;0
08/12/2022 01:36:30 AM;-12.567;0
08/12/2022 01:37:00 AM;-12.503;0
08/12/2022 01:37:30 AM;-12.516;0
08/12/2022 01:38:00 AM;-12.511;0
08/12/2022 01:38:30 AM;-12.509;0
08/12/2022 01:39:00 AM;-12.497;0
08/12/2022 01:39:30 AM;-12.425;0
08/12/2022 01:40:00 AM;-12.388;0
08/12/2022 01:40:30 AM;-12.392;0
08/12/2022 01:41:00 AM;-12.413;0
08/12/2022 01:41:30 AM;-12.376;0
08/12/2022 01:42:00 AM;-12.363;0
08/12/2022 01:42:30 AM;-12.345;0
08/12/2022 01:43:00 AM;-8.784;0
08/12/2022 01:43:30 AM;-8.795;0
08/12/2022 01:44:00 AM;-8.787;0
08/12/2022 01:44:30 AM;-8.783;0
08/12/2022 01:45:00 AM;-8.783;0
08/12/2022 01:45:30 AM;-8.782;0
08/12/2022 01:46:00 AM;-8.781;0
08/12/2022 01:46:30 AM;-8.786;0
08/12/2022 01:47:00 AM;-8.77;0
08/12/2022 01:47:30 AM;-8.793;0
08/12/2022 01:48:00 AM;-8.78;0
08/12/2022 01:48:30 AM;-8.789;0
08/12/2022 01:49:00 AM;-8.79;0
08/12/2022 01:49:30 AM;-8.78;0
08/12/2022 01:50:00 AM;-8.788;0
08/12/2022 01:50:30 AM;-8.762;0
08/12/2022 01:51:00 AM;-8.778;0
08/12/2022 01:51:30 AM;-8.766;0
08/12/2022 01:52:00 AM;-8.788;0
08/12/2022 01:52:30 AM;-8.787;0
08/12/2022 01:53:00 AM;-8.766;0
08/12/2022 01:53:30 AM;-8.772;0
08/12/2022 01:54:00 AM;-8.78;0
08/12/2022 01:54:30 AM;-8.78;0
08/12/2022 01:55:00 AM;-8.779;0
08/12/2022 01:55:30 AM;-8.768;0
08/12/2022 01:56:00 AM;-8.787;0
08/12/2022 01:56:30 AM;-8.791;0
08/12/2022 01:57:00 AM;-8.786;0
08/12/2022 01:57:30 AM;-8.788;0
08/12/2022 01:58:00 AM;-8.781;0
08/12/2022 01:58:30 AM;-8.784;0
08/12/2022 01:59:00 AM;-8.797;0
08/12/2022 01:59:30 AM;-8.79;0
08/12/2022 02:00:00 AM;-8.784;0
08/12/2022 02:00:30 AM;-8.799;0
08/12/2022 02:01:00 AM;-8.788;0
08/12/2022 02:01:30 AM;-8.803;0
08/12/2022 02:02:00 AM;-8.779;0
08/12/2022 02:02:30 AM;-8.798;0
08/12/2022 02:03:00 AM;-8.8;0
08/12/2022 02:03:30 AM;-8.789;0
08/12/2022 02:04:00 AM;-8.773;0
08/12/2022 02:04:30 AM;-8.786;0
08/12/2022 02:05:00 AM;-8.732;0
08/12/2022 02:05:30 AM;-11.356;0
08/12/2022 02:06:00 AM;-12.893;0
08/12/2022 02:06:30 AM;-13.266;0
08/12/2022 02:07:00 AM;-13.387;0
08/12/2022 02:07:30 AM;-13.386;0
08/12/2022 02:08:00 AM;-13.377;0
08/12/2022 02:08:30 AM;-13.38;0
08/12/2022 02:09:00 AM;-13.377;0
08/12/2022 02:09:30 AM;-13.402;0
08/12/2022 02:10:00 AM;-13.393;0
08/12/2022 02:10:30 AM;-13.335;0
08/12/2022 02:11:00 AM;-13.305;0
08/12/2022 02:11:30 AM;-13.51;0
08/12/2022 02:12:00 AM;-13.514;0
08/12/2022 02:12:30 AM;-13.485;0
08/12/2022 02:13:00 AM;-13.453;0
08/12/2022 02:13:30 AM;-13.433;0
08/12/2022 02:14:00 AM;-13.454;0
08/12/2022 02:14:30 AM;-13.46;0
08/12/2022 02:15:00 AM;-13.384;0
08/12/2022 02:15:30 AM;-13.27;0
08/12/2022 02:16:00 AM;-13.196;0
08/12/2022 02:16:30 AM;-12.971;0
08/12/2022 02:17:00 AM;-12.702;0
08/12/2022 02:17:30 AM;-12.361;0
08/12/2022 02:18:00 AM;-12.39;0
08/12/2022 02:18:30 AM;-12.379;0
08/12/2022 02:19:00 AM;-12.234;0
08/12/2022 02:19:30 AM;-11.87;0
08/12/2022 02:20:00 AM;-11.958;0
08/12/2022 02:20:30 AM;-11.963;0
08/12/2022 02:21:00 AM;-11.932;0
08/12/2022 02:21:30 AM;-11.925;0
08/12/2022 02:22:00 AM;-11.919;0
08/12/2022 02:22:30 AM;-11.905;0
08/12/2022 02:23:00 AM;-11.89;0
08/12/2022 02:23:30 AM;-11.875;0
08/12/2022 02:24:00 AM;-11.855;0
08/12/2022 02:24:30 AM;-11.806;0
08/12/2022 02:25:00 AM;-11.665;0
08/12/2022 02:25:30 AM;-11.68;0
08/12/2022 02:26:00 AM;-11.586;0
08/12/2022 02:26:30 AM;-11.883;0
08/12/2022 02:27:00 AM;-11.863;0
08/12/2022 02:27:30 AM;-11.895;0
08/12/2022 02:28:00 AM;-11.894;0
08/12/2022 02:28:30 AM;-11.871;0
08/12/2022 02:29:00 AM;-11.847;0
08/12/2022 02:29:30 AM;-11.867;0
08/12/2022 02:30:00 AM;-11.847;0
08/12/2022 02:30:30 AM;-11.783;0
08/12/2022 02:31:00 AM;-11.612;0
08/12/2022 02:31:30 AM;-11.701;0
08/12/2022 02:32:00 AM;-11.85;0
08/12/2022 02:32:30 AM;-11.873;0
08/12/2022 02:33:00 AM;-11.879;0
08/12/2022 02:33:30 AM;-11.89;0
08/12/2022 02:34:00 AM;-11.873;0
08/12/2022 02:34:30 AM;-11.86;0
