Timestamp;Current Ir [A];QoS
08/12/2022 12:00:00 AM;1.321;0
08/12/2022 12:00:30 AM;1.018;0
08/12/2022 12:01:00 AM;0.931;0
08/12/2022 12:01:30 AM;0.965;0
08/12/2022 12:02:00 AM;0.937;0
08/12/2022 12:02:30 AM;1.306;0
08/12/2022 12:03:00 AM;1.041;0
08/12/2022 12:03:30 AM;1.178;0
08/12/2022 12:04:00 AM;1.086;0
08/12/2022 12:04:30 AM;1.179;0
08/12/2022 12:05:00 AM;1.547;0
08/12/2022 12:05:30 AM;1.889;0
08/12/2022 12:06:00 AM;2.223;0
08/12/2022 12:06:30 AM;2.135;0
08/12/2022 12:07:00 AM;1.412;0
08/12/2022 12:07:30 AM;1.57;0
08/12/2022 12:08:00 AM;1.896;0
08/12/2022 12:08:30 AM;1.772;0
08/12/2022 12:09:00 AM;1.453;0
08/12/2022 12:09:30 AM;1.594;0
08/12/2022 12:10:00 AM;1.743;0
08/12/2022 12:10:30 AM;1.718;0
08/12/2022 12:11:00 AM;2.003;0
08/12/2022 12:11:30 AM;1.76;0
08/12/2022 12:12:00 AM;1.649;0
08/12/2022 12:12:30 AM;1.461;0
08/12/2022 12:13:00 AM;1.601;0
08/12/2022 12:13:00 AM;1.601;0
08/12/2022 12:13:30 AM;1.649;0
08/12/2022 12:14:00 AM;1.758;0
08/12/2022 12:14:30 AM;1.465;0
08/12/2022 12:15:00 AM;1.311;0
08/12/2022 12:15:30 AM;1.176;0
08/12/2022 12:16:00 AM;1.301;0
08/12/2022 12:16:30 AM;1.263;0
08/12/2022 12:17:00 AM;1.388;0
08/12/2022 12:17:30 AM;1.57;0
08/12/2022 12:18:00 AM;1.623;0
08/12/2022 12:18:30 AM;1.669;0
08/12/2022 12:19:00 AM;1.365;0
08/12/2022 12:19:30 AM;1.208;0
08/12/2022 12:20:00 AM;1.528;0
08/12/2022 12:20:30 AM;1.256;0
08/12/2022 12:21:00 AM;1.432;0
08/12/2022 12:21:30 AM;1.225;0
08/12/2022 12:22:00 AM;1.193;0
08/12/2022 12:22:30 AM;1.909;0
08/12/2022 12:23:00 AM;1.293;0
08/12/2022 12:23:30 AM;1.141;0
08/12/2022 12:24:00 AM;1.309;0
08/12/2022 12:24:30 AM;1.431;0
08/12/2022 12:25:00 AM;1.106;0
08/12/2022 12:25:30 AM;1.557;0
08/12/2022 12:26:00 AM;1.358;0
08/12/2022 12:26:30 AM;1.455;0
08/12/2022 12:27:00 AM;2.18;0
08/12/2022 12:27:30 AM;1.998;0
08/12/2022 12:28:00 AM;1.792;0
08/12/2022 12:28:30 AM;1.523;0
08/12/2022 12:29:00 AM;1.933;0
08/12/2022 12:29:30 AM;1.974;0
08/12/2022 12:30:00 AM;1.694;0
08/12/2022 12:30:30 AM;1.723;0
08/12/2022 12:31:00 AM;1.976;0
08/12/2022 12:31:30 AM;1.912;0
08/12/2022 12:32:00 AM;1.739;0
08/12/2022 12:32:30 AM;1.184;0
08/12/2022 12:33:00 AM;1.642;0
08/12/2022 12:33:30 AM;1.901;0
08/12/2022 12:34:00 AM;2.188;0
08/12/2022 12:34:30 AM;2.543;0
08/12/2022 12:35:00 AM;2.746;0
08/12/2022 12:35:30 AM;3.598;0
08/12/2022 12:36:00 AM;2.134;0
08/12/2022 12:36:30 AM;2.19;0
08/12/2022 12:37:00 AM;2.46;0
08/12/2022 12:37:30 AM;2.457;0
08/12/2022 12:38:00 AM;1.894;0
08/12/2022 12:38:30 AM;1.85;0
08/12/2022 12:39:00 AM;2.088;0
08/12/2022 12:39:30 AM;2.08;0
08/12/2022 12:40:00 AM;1.944;0
08/12/2022 12:40:30 AM;2.976;0
08/12/2022 12:41:00 AM;3.197;0
08/12/2022 12:41:30 AM;2.33;0
08/12/2022 12:42:00 AM;2.567;0
08/12/2022 12:42:30 AM;1.731;0
08/12/2022 12:43:00 AM;2.17;0
08/12/2022 12:43:30 AM;1.902;0
08/12/2022 12:44:00 AM;2.331;0
08/12/2022 12:44:30 AM;2.585;0
08/12/2022 12:45:00 AM;2.352;0
08/12/2022 12:45:30 AM;2.797;0
08/12/2022 12:46:00 AM;2.967;0
08/12/2022 12:46:30 AM;2.583;0
08/12/2022 12:47:00 AM;2.067;0
08/12/2022 12:47:30 AM;2.543;0
08/12/2022 12:48:00 AM;3.008;0
08/12/2022 12:48:30 AM;2.255;0
08/12/2022 12:49:00 AM;2.068;0
08/12/2022 12:49:30 AM;2.18;0
08/12/2022 12:50:00 AM;3.415;0
08/12/2022 12:50:30 AM;2.579;0
08/12/2022 12:51:00 AM;2.715;0
08/12/2022 12:51:30 AM;3.006;0
08/12/2022 12:52:00 AM;4.152;0
08/12/2022 12:52:30 AM;2.964;0
08/12/2022 12:53:00 AM;3.282;0
08/12/2022 12:53:30 AM;2.719;0
08/12/2022 12:54:00 AM;2.477;0
08/12/2022 12:54:30 AM;2.952;0
08/12/2022 12:55:00 AM;2.135;0
08/12/2022 12:55:30 AM;2.637;0
08/12/2022 12:56:00 AM;3.047;0
08/12/2022 12:56:30 AM;2.59;0
08/12/2022 12:57:00 AM;2.637;0
08/12/2022 12:57:30 AM;2.774;0
08/12/2022 12:58:00 AM;3.013;0
08/12/2022 12:58:30 AM;2.369;0
08/12/2022 12:59:00 AM;3.579;0
08/12/2022 12:59:30 AM;2.446;0
08/12/2022 01:00:00 AM;2.882;0
08/12/2022 01:00:30 AM;3.186;0
08/12/2022 01:01:00 AM;3.001;0
08/12/2022 01:01:30 AM;2.88;0
08/12/2022 01:02:00 AM;2.585;0
08/12/2022 01:02:30 AM;3.743;0
08/12/2022 01:03:00 AM;2.693;0
08/12/2022 01:03:30 AM;3.07;0
08/12/2022 01:04:00 AM;2.705;0
08/12/2022 01:04:30 AM;3.27;0
08/12/2022 01:05:00 AM;3.437;0
08/12/2022 01:05:30 AM;3.697;0
08/12/2022 01:06:00 AM;3.228;0
08/12/2022 01:06:00 AM;3.228;0
08/12/2022 01:06:30 AM;3.425;0
08/12/2022 01:07:00 AM;3.89;0
08/12/2022 01:07:30 AM;3.558;0
08/12/2022 01:08:00 AM;3.072;0
08/12/2022 01:08:30 AM;3.096;0
08/12/2022 01:09:00 AM;2.611;0
08/12/2022 01:09:30 AM;3.259;0
08/12/2022 01:10:00 AM;3.003;0
08/12/2022 01:10:30 AM;2.762;0
08/12/2022 01:11:00 AM;2.198;0
08/12/2022 01:11:30 AM;2.531;0
