Timestamp;Current Iy [A];QoS
08/12/2022 12:00:00 AM;1.27;0
08/12/2022 12:00:30 AM;0.977;0
08/12/2022 12:01:00 AM;0.877;0
08/12/2022 12:01:30 AM;0.923;0
08/12/2022 12:02:00 AM;0.842;0
08/12/2022 12:02:30 AM;1.262;0
08/12/2022 12:03:00 AM;0.998;0
08/12/2022 12:03:30 AM;1.129;0
08/12/2022 12:04:00 AM;1.042;0
08/12/2022 12:04:30 AM;1.128;0
08/12/2022 12:05:00 AM;1.49;0
08/12/2022 12:05:30 AM;1.836;0
08/12/2022 12:06:00 AM;2.165;0
08/12/2022 12:06:30 AM;2.091;0
08/12/2022 12:07:00 AM;1.36;0
08/12/2022 12:07:30 AM;1.495;0
08/12/2022 12:08:00 AM;1.778;0
08/12/2022 12:08:30 AM;1.695;0
08/12/2022 12:09:00 AM;1.381;0
08/12/2022 12:09:30 AM;1.521;0
08/12/2022 12:10:00 AM;1.666;0
08/12/2022 12:10:30 AM;1.58;0
08/12/2022 12:11:00 AM;1.932;0
08/12/2022 12:11:30 AM;1.691;0
08/12/2022 12:12:00 AM;1.575;0
08/12/2022 12:12:30 AM;1.394;0
08/12/2022 12:13:00 AM;1.529;0
08/12/2022 12:13:30 AM;1.569;0
08/12/2022 12:14:00 AM;1.676;0
08/12/2022 12:14:30 AM;1.384;0
08/12/2022 12:15:00 AM;1.239;0
08/12/2022 12:15:30 AM;1.116;0
08/12/2022 12:16:00 AM;1.234;0
08/12/2022 12:16:30 AM;1.196;0
08/12/2022 12:17:00 AM;1.313;0
08/12/2022 12:17:30 AM;1.483;0
08/12/2022 12:18:00 AM;1.561;0
08/12/2022 12:18:30 AM;1.625;0
08/12/2022 12:19:00 AM;1.331;0
08/12/2022 12:19:30 AM;1.163;0
08/12/2022 12:20:00 AM;1.486;0
08/12/2022 12:20:30 AM;1.222;0
08/12/2022 12:21:00 AM;1.392;0
08/12/2022 12:21:30 AM;1.184;0
08/12/2022 12:22:00 AM;1.158;0
08/12/2022 12:22:30 AM;1.849;0
08/12/2022 12:23:00 AM;1.269;0
08/12/2022 12:23:30 AM;1.086;0
08/12/2022 12:24:00 AM;1.253;0
08/12/2022 12:24:30 AM;1.366;0
08/12/2022 12:25:00 AM;1.049;0
08/12/2022 12:25:30 AM;1.487;0
08/12/2022 12:26:00 AM;1.295;0
08/12/2022 12:26:30 AM;1.382;0
08/12/2022 12:27:00 AM;2.106;0
08/12/2022 12:27:30 AM;1.916;0
08/12/2022 12:28:00 AM;1.715;0
08/12/2022 12:28:30 AM;1.44;0
08/12/2022 12:29:00 AM;1.861;0
08/12/2022 12:29:30 AM;1.904;0
08/12/2022 12:30:00 AM;1.619;0
08/12/2022 12:30:30 AM;1.63;0
08/12/2022 12:31:00 AM;1.896;0
08/12/2022 12:31:30 AM;1.843;0
08/12/2022 12:32:00 AM;1.658;0
08/12/2022 12:32:30 AM;1.132;0
08/12/2022 12:33:00 AM;1.567;0
08/12/2022 12:33:30 AM;1.8;0
08/12/2022 12:34:00 AM;2.134;0
08/12/2022 12:34:30 AM;2.492;0
08/12/2022 12:35:00 AM;2.696;0
08/12/2022 12:35:30 AM;3.536;0
08/12/2022 12:36:00 AM;2.087;0
08/12/2022 12:36:30 AM;2.128;0
08/12/2022 12:37:00 AM;2.417;0
08/12/2022 12:37:30 AM;2.409;0
08/12/2022 12:38:00 AM;1.808;0
08/12/2022 12:38:30 AM;1.804;0
08/12/2022 12:39:00 AM;2.013;0
08/12/2022 12:39:30 AM;1.998;0
08/12/2022 12:40:00 AM;1.868;0
08/12/2022 12:40:30 AM;2.92;0
08/12/2022 12:41:00 AM;3.134;0
08/12/2022 12:41:30 AM;2.276;0
08/12/2022 12:42:00 AM;2.505;0
08/12/2022 12:42:30 AM;1.676;0
08/12/2022 12:43:00 AM;2.096;0
08/12/2022 12:43:30 AM;1.817;0
08/12/2022 12:44:00 AM;2.253;0
08/12/2022 12:44:30 AM;2.51;0
08/12/2022 12:45:00 AM;2.271;0
08/12/2022 12:45:30 AM;2.715;0
08/12/2022 12:46:00 AM;2.876;0
08/12/2022 12:46:30 AM;2.501;0
08/12/2022 12:47:00 AM;2.007;0
08/12/2022 12:47:30 AM;2.49;0
08/12/2022 12:48:00 AM;2.945;0
08/12/2022 12:48:30 AM;2.204;0
08/12/2022 12:49:00 AM;2.012;0
08/12/2022 12:49:30 AM;2.139;0
08/12/2022 12:50:00 AM;3.35;0
08/12/2022 12:50:30 AM;2.526;0
08/12/2022 12:51:00 AM;2.667;0
08/12/2022 12:51:30 AM;2.941;0
08/12/2022 12:52:00 AM;4.1;0
08/12/2022 12:52:30 AM;2.913;0
08/12/2022 12:53:00 AM;3.23;0
08/12/2022 12:53:30 AM;2.678;0
08/12/2022 12:54:00 AM;2.42;0
08/12/2022 12:54:30 AM;2.899;0
08/12/2022 12:55:00 AM;2.08;0
08/12/2022 12:55:30 AM;2.549;0
08/12/2022 12:56:00 AM;2.996;0
08/12/2022 12:56:30 AM;2.504;0
08/12/2022 12:57:00 AM;2.56;0
08/12/2022 12:57:30 AM;2.686;0
08/12/2022 12:58:00 AM;2.957;0
08/12/2022 12:58:30 AM;2.311;0
08/12/2022 12:59:00 AM;3.518;0
08/12/2022 12:59:30 AM;2.382;0
08/12/2022 01:00:00 AM;2.817;0
08/12/2022 01:00:30 AM;3.12;0
08/12/2022 01:01:00 AM;2.945;0
08/12/2022 01:01:30 AM;2.817;0
08/12/2022 01:02:00 AM;2.515;0
08/12/2022 01:02:30 AM;3.694;0
08/12/2022 01:03:00 AM;2.636;0
08/12/2022 01:03:30 AM;3.017;0
08/12/2022 01:04:00 AM;2.649;0
08/12/2022 01:04:30 AM;3.215;0
08/12/2022 01:05:00 AM;3.368;0
08/12/2022 01:05:30 AM;3.634;0
08/12/2022 01:06:00 AM;3.16;0
08/12/2022 01:06:30 AM;3.365;0
08/12/2022 01:07:00 AM;3.83;0
08/12/2022 01:07:30 AM;3.505;0
08/12/2022 01:08:00 AM;3.021;0
08/12/2022 01:08:30 AM;3.039;0
08/12/2022 01:09:00 AM;2.56;0
08/12/2022 01:09:30 AM;3.214;0
08/12/2022 01:10:00 AM;2.94;0
08/12/2022 01:10:30 AM;2.713;0
08/12/2022 01:11:00 AM;2.154;0
08/12/2022 01:11:30 AM;2.474;0
08/12/2022 01:12:00 AM;3.157;0
08/12/2022 01:12:30 AM;3.335;0
08/12/2022 01:13:00 AM;2.975;0
08/12/2022 01:13:30 AM;2.717;0
08/12/2022 01:14:00 AM;2.737;0
08/12/2022 01:14:30 AM;2.555;0
08/12/2022 01:15:00 AM;2.515;0
08/12/2022 01:15:30 AM;2.802;0
08/12/2022 01:16:00 AM;3.502;0
08/12/2022 01:16:30 AM;3.418;0
08/12/2022 01:17:00 AM;2.899;0
08/12/2022 01:17:30 AM;2.03;0
08/12/2022 01:18:00 AM;3.387;0
08/12/2022 01:18:30 AM;2.801;0
08/12/2022 01:19:00 AM;3.076;0
08/12/2022 01:19:30 AM;2.915;0
08/12/2022 01:20:00 AM;2.354;0
08/12/2022 01:20:30 AM;2.076;0
08/12/2022 01:21:00 AM;2.041;0
08/12/2022 01:21:30 AM;2.683;0
08/12/2022 01:22:00 AM;2.39;0
08/12/2022 01:22:30 AM;2.604;0
08/12/2022 01:23:00 AM;2.619;0
08/12/2022 01:23:30 AM;2.44;0
08/12/2022 01:24:00 AM;1.974;0
08/12/2022 01:24:30 AM;1.946;0
08/12/2022 01:25:00 AM;1.75;0
08/12/2022 01:25:30 AM;2.108;0
08/12/2022 01:26:00 AM;2.122;0
08/12/2022 01:26:30 AM;1.987;0
08/12/2022 01:27:00 AM;2.628;0
08/12/2022 01:27:30 AM;2.268;0
08/12/2022 01:28:00 AM;1.815;0
08/12/2022 01:28:30 AM;2.187;0
08/12/2022 01:29:00 AM;2.251;0
08/12/2022 01:29:30 AM;1.568;0
08/12/2022 01:30:00 AM;1.561;0
08/12/2022 01:30:30 AM;1.414;0
