Timestamp;Current Ib [A];QoS
08/12/2022 12:00:00 AM;1.213;0
08/12/2022 12:00:30 AM;0.915;0
08/12/2022 12:01:00 AM;0.826;0
08/12/2022 12:01:30 AM;0.86;0
08/12/2022 12:02:00 AM;0.661;0
08/12/2022 12:02:30 AM;1.197;0
08/12/2022 12:03:00 AM;0.944;0
08/12/2022 12:03:30 AM;1.067;0
08/12/2022 12:04:00 AM;0.987;0
08/12/2022 12:04:30 AM;1.081;0
08/12/2022 12:05:00 AM;1.433;0
08/12/2022 12:05:30 AM;1.777;0
08/12/2022 12:06:00 AM;2.108;0
08/12/2022 12:06:30 AM;1.991;0
08/12/2022 12:07:00 AM;1.311;0
08/12/2022 12:07:30 AM;1.488;0
08/12/2022 12:08:00 AM;1.66;0
08/12/2022 12:08:30 AM;1.683;0
08/12/2022 12:09:00 AM;1.365;0
08/12/2022 12:09:30 AM;1.5;0
08/12/2022 12:10:00 AM;1.652;0
08/12/2022 12:10:30 AM;1.28;0
08/12/2022 12:11:00 AM;1.904;0
08/12/2022 12:11:30 AM;1.682;0
08/12/2022 12:12:00 AM;1.568;0
08/12/2022 12:12:30 AM;1.374;0
08/12/2022 12:13:00 AM;1.511;0
08/12/2022 12:13:30 AM;1.549;0
08/12/2022 12:14:00 AM;1.657;0
08/12/2022 12:14:30 AM;1.367;0
08/12/2022 12:15:00 AM;1.221;0
08/12/2022 12:15:30 AM;1.092;0
08/12/2022 12:16:00 AM;1.213;0
08/12/2022 12:16:30 AM;1.178;0
08/12/2022 12:17:00 AM;1.296;0
08/12/2022 12:17:30 AM;1.468;0
08/12/2022 12:18:00 AM;1.497;0
08/12/2022 12:18:30 AM;1.516;0
08/12/2022 12:19:00 AM;1.244;0
08/12/2022 12:19:30 AM;1.072;0
08/12/2022 12:20:00 AM;1.393;0
08/12/2022 12:20:30 AM;1.138;0
08/12/2022 12:21:00 AM;1.287;0
08/12/2022 12:21:30 AM;1.086;0
08/12/2022 12:22:00 AM;1.103;0
