Timestamp;Power Generated [kW];QoS
08/12/2022 12:00:00 AM;23.308;0
08/12/2022 12:00:30 AM;17.244;0
08/12/2022 12:01:00 AM;15.246;0
08/12/2022 12:01:30 AM;16.037;0
08/12/2022 12:02:00 AM;13.738;0
08/12/2022 12:02:30 AM;23.179;0
08/12/2022 12:03:00 AM;17.682;0
08/12/2022 12:03:30 AM;20.542;0
08/12/2022 12:04:00 AM;18.752;0
08/12/2022 12:04:30 AM;20.633;0
08/12/2022 12:05:00 AM;27.937;0
08/12/2022 12:05:30 AM;34.933;0
08/12/2022 12:06:00 AM;41.658;0
08/12/2022 12:06:30 AM;39.42;0
08/12/2022 12:07:00 AM;24.739;0
08/12/2022 12:07:30 AM;28.027;0
08/12/2022 12:08:00 AM;33.592;0
08/12/2022 12:08:30 AM;32.28;0
08/12/2022 12:09:00 AM;25.918;0
08/12/2022 12:09:30 AM;28.064;0
08/12/2022 12:10:00 AM;32.433;0
08/12/2022 12:10:30 AM;29.062;0
08/12/2022 12:11:00 AM;36.86;0
08/12/2022 12:11:30 AM;32.119;0
08/12/2022 12:12:00 AM;29.745;0
08/12/2022 12:12:30 AM;25.858;0
08/12/2022 12:13:00 AM;28.643;0
08/12/2022 12:13:30 AM;29.578;0
08/12/2022 12:14:00 AM;31.774;0
08/12/2022 12:14:30 AM;25.645;0
08/12/2022 12:15:00 AM;22.397;0
08/12/2022 12:15:30 AM;19.802;0
08/12/2022 12:16:00 AM;22.59;0
08/12/2022 12:16:30 AM;21.872;0
08/12/2022 12:17:00 AM;24.23;0
08/12/2022 12:17:30 AM;27.965;0
08/12/2022 12:18:00 AM;29.087;0
08/12/2022 12:18:30 AM;29.931;0
08/12/2022 12:19:00 AM;23.956;0
08/12/2022 12:19:30 AM;20.411;0
08/12/2022 12:20:00 AM;27.154;0
08/12/2022 12:20:30 AM;21.635;0
08/12/2022 12:21:00 AM;25.15;0
08/12/2022 12:21:30 AM;20.725;0
08/12/2022 12:22:00 AM;20.632;0
08/12/2022 12:22:30 AM;34.944;0
08/12/2022 12:23:00 AM;22.379;0
08/12/2022 12:23:30 AM;19.473;0
08/12/2022 12:24:00 AM;23.115;0
08/12/2022 12:24:30 AM;25.508;0
08/12/2022 12:25:00 AM;18.254;0
08/12/2022 12:25:30 AM;27.884;0
08/12/2022 12:26:00 AM;23.735;0
08/12/2022 12:26:30 AM;25.978;0
08/12/2022 12:27:00 AM;40.528;0
08/12/2022 12:27:30 AM;36.91;0
08/12/2022 12:28:00 AM;32.753;0
08/12/2022 12:28:30 AM;27.091;0
08/12/2022 12:29:00 AM;35.697;0
08/12/2022 12:29:30 AM;36.479;0
08/12/2022 12:30:00 AM;30.776;0
08/12/2022 12:30:30 AM;30.966;0
08/12/2022 12:31:00 AM;36.458;0
08/12/2022 12:31:30 AM;35.236;0
08/12/2022 12:32:00 AM;31.586;0
08/12/2022 12:32:30 AM;20.32;0
08/12/2022 12:33:00 AM;29.636;0
08/12/2022 12:33:30 AM;32.281;0
08/12/2022 12:34:00 AM;40.454;0
08/12/2022 12:34:30 AM;47.656;0
08/12/2022 12:35:00 AM;51.683;0
08/12/2022 12:35:30 AM;68.677;0
08/12/2022 12:36:00 AM;39.34;0
08/12/2022 12:36:30 AM;40.272;0
08/12/2022 12:37:00 AM;45.978;0
08/12/2022 12:37:30 AM;45.806;0
08/12/2022 12:38:00 AM;33.103;0
08/12/2022 12:38:30 AM;33.668;0
08/12/2022 12:39:00 AM;38.703;0
08/12/2022 12:39:30 AM;38.44;0
08/12/2022 12:40:00 AM;35.712;0
08/12/2022 12:40:30 AM;56.344;0
08/12/2022 12:41:00 AM;60.648;0
08/12/2022 12:41:30 AM;43.248;0
08/12/2022 12:42:00 AM;47.993;0
08/12/2022 12:42:30 AM;30.406;0
08/12/2022 12:43:00 AM;40.416;0
08/12/2022 12:43:30 AM;34.975;0
08/12/2022 12:44:00 AM;43.679;0
08/12/2022 12:44:30 AM;48.834;0
08/12/2022 12:45:00 AM;44.029;0
08/12/2022 12:45:30 AM;53.098;0
08/12/2022 12:46:00 AM;56.267;0
08/12/2022 12:46:30 AM;48.699;0
08/12/2022 12:47:00 AM;38.219;0
08/12/2022 12:47:30 AM;47.702;0
08/12/2022 12:48:00 AM;56.643;0
08/12/2022 12:48:30 AM;41.827;0
08/12/2022 12:49:00 AM;37.952;0
08/12/2022 12:49:30 AM;40.545;0
08/12/2022 12:50:00 AM;65.186;0
08/12/2022 12:50:30 AM;48.39;0
08/12/2022 12:51:00 AM;51.229;0
08/12/2022 12:51:30 AM;56.552;0
08/12/2022 12:52:00 AM;79.999;0
08/12/2022 12:52:30 AM;56.231;0
08/12/2022 12:53:00 AM;62.574;0
08/12/2022 12:53:30 AM;51.372;0
08/12/2022 12:54:00 AM;46.394;0
08/12/2022 12:54:30 AM;56.012;0
08/12/2022 12:55:00 AM;39.652;0
08/12/2022 12:55:30 AM;49.752;0
08/12/2022 12:56:00 AM;56.334;0
08/12/2022 12:56:30 AM;48.87;0
08/12/2022 12:57:00 AM;49.479;0
08/12/2022 12:57:30 AM;51.155;0
08/12/2022 12:58:00 AM;56.348;0
08/12/2022 12:58:30 AM;43.409;0
08/12/2022 12:59:00 AM;67.405;0
08/12/2022 12:59:30 AM;44.842;0
08/12/2022 01:00:00 AM;53.468;0
08/12/2022 01:00:30 AM;59.364;0
08/12/2022 01:01:00 AM;55.803;0
08/12/2022 01:01:30 AM;53.342;0
08/12/2022 01:02:00 AM;47.451;0
08/12/2022 01:02:30 AM;71.524;0
08/12/2022 01:03:00 AM;50.468;0
08/12/2022 01:03:30 AM;58.086;0
08/12/2022 01:04:00 AM;50.646;0
08/12/2022 01:04:30 AM;62.111;0
08/12/2022 01:05:00 AM;65.198;0
08/12/2022 01:05:30 AM;71.955;0
