IsoDatetime,v1,v2,v3,i1,i2,i3,p,q,pf
2022-08-12T00:00:00,11320.481,11418.354,11338.304,0.0,0.277,0.0,-2.778,0.0,-0.75
2022-08-12T00:00:30,11310.461,11409.227,11341.251,0.0,0.277,0.0,-2.774,0.0,-0.743
2022-08-12T00:01:00,11302.448,11408.721,11339.153,0.0,0.277,0.0,-2.766,0.0,-0.746
2022-08-12T00:01:30,11290.778,11396.943,11340.571,0.0,0.273,0.0,-2.78,0.0,-0.751
2022-08-12T00:02:00,11309.998,11407.631,11337.154,0.0,0.279,0.0,-2.802,0.0,-0.742
2022-08-12T00:02:30,11312.29,11409.724,11340.639,0.0,0.278,0.0,-2.803,0.0,-0.75
2022-08-12T00:03:00,11321.817,11421.26,11346.535,0.0,0.279,0.0,-2.783,0.0,-0.748
2022-08-12T00:03:30,11321.699,11433.147,11339.187,0.0,0.276,0.0,-2.773,0.0,-0.75
2022-08-12T00:04:00,11319.22,11429.599,11338.516,0.0,0.276,0.0,-2.776,0.0,-0.749
2022-08-12T00:04:30,11313.949,11422.396,11331.42,0.0,0.28,0.0,-2.778,0.0,-0.747
2022-08-12T00:05:00,11296.658,11411.79,11326.727,0.0,0.274,0.0,-2.771,0.0,-0.754
2022-08-12T00:05:30,11308.736,11414.774,11343.612,0.0,0.278,0.0,-2.772,0.0,-0.753
2022-08-12T00:06:00,11316.332,11420.722,11342.942,0.0,0.278,0.0,-2.773,0.0,-0.748
2022-08-12T00:06:30,11319.693,11414.977,11361.457,0.0,0.279,0.0,-2.798,0.0,-0.747
2022-08-12T00:07:00,11318.43,11423.259,11353.367,0.0,0.277,0.0,-2.789,0.0,-0.751
2022-08-12T00:07:30,11322.299,11418.012,11350.507,0.0,0.279,0.0,-2.793,0.0,-0.745
2022-08-12T00:08:00,11323.99,11426.498,11351.784,0.0,0.276,0.0,-2.782,0.0,-0.749
2022-08-12T00:08:30,11321.335,11424.365,11353.599,0.0,0.279,0.0,-2.787,0.0,-0.747
2022-08-12T00:09:00,11314.235,11413.975,11347.121,0.0,0.277,0.0,-2.782,0.0,-0.744
2022-08-12T00:09:30,11313.244,11414.397,11340.666,0.0,0.28,0.0,-2.785,0.0,-0.743
2022-08-12T00:10:00,11313.293,11408.436,11331.58,0.0,0.281,0.0,-2.784,0.0,-0.741
2022-08-12T00:10:30,11308.791,11411.689,11329.979,0.0,0.281,0.0,-2.79,0.0,-0.746
2022-08-12T00:11:00,11298.079,11400.494,11325.696,0.0,0.279,0.0,-2.784,0.0,-0.749
2022-08-12T00:11:30,11298.063,11404.71,11329.435,0.0,0.277,0.0,-2.78,0.0,-0.744
2022-08-12T00:12:00,11294.532,11399.953,11323.938,0.0,0.275,0.0,-2.765,0.0,-0.752
2022-08-12T00:12:30,11291.845,11397.142,11322.601,0.0,0.276,0.0,-2.783,0.0,-0.753
2022-08-12T00:13:00,11303.538,11412.966,11336.322,0.0,0.28,0.0,-2.774,0.0,-0.743
2022-08-12T00:13:30,11304.237,11419.535,11335.124,0.0,0.279,0.0,-2.78,0.0,-0.745
2022-08-12T00:14:00,11314.057,11410.389,11339.137,0.0,0.278,0.0,-2.785,0.0,-0.746
2022-08-12T00:14:30,11302.632,11406.343,11343.758,0.0,0.279,0.0,-2.79,0.0,-0.747
2022-08-12T00:15:00,11297.961,11390.524,11342.185,0.0,0.278,0.0,-2.803,0.0,-0.75
2022-08-12T00:15:30,11309.678,11400.227,11333.094,0.0,0.279,0.0,-2.792,0.0,-0.747
2022-08-12T00:16:00,11295.978,11394.527,11341.368,0.0,0.279,0.0,-2.796,0.0,-0.741
2022-08-12T00:16:30,11300.987,11407.984,11350.268,0.0,0.278,0.0,-2.782,0.0,-0.742
2022-08-12T00:17:00,11295.234,11400.59,11348.201,0.0,0.274,0.0,-2.785,0.0,-0.75
2022-08-12T00:17:30,11293.993,11394.058,11336.735,0.0,0.279,0.0,-2.79,0.0,-0.743
2022-08-12T00:18:00,11300.205,11398.903,11340.689,0.0,0.279,0.0,-2.8,0.0,-0.745
2022-08-12T00:18:30,11295.339,11397.754,11341.229,0.0,0.275,0.0,-2.78,0.0,-0.749
2022-08-12T00:19:00,11296.385,11399.88,11343.863,0.0,0.279,0.0,-2.795,0.0,-0.744
2022-08-12T00:19:30,11281.215,11385.967,11356.687,0.0,0.274,0.0,-2.801,0.0,-0.75
2022-08-12T00:20:00,11272.432,11373.657,11349.722,0.0,0.275,0.0,-2.785,0.0,-0.748
2022-08-12T00:20:30,11303.442,11398.997,11337.243,0.0,0.277,0.0,-2.78,0.0,-0.745
2022-08-12T00:21:00,11308.099,11404.725,11345.846,0.0,0.279,0.0,-2.789,0.0,-0.742
2022-08-12T00:21:30,11302.197,11404.121,11351.624,0.0,0.277,0.0,-2.795,0.0,-0.746
2022-08-12T00:22:00,11300.156,11395.32,11338.51,0.0,0.278,0.0,-2.791,0.0,-0.748
2022-08-12T00:22:30,11306.949,11403.665,11344.574,0.0,0.278,0.0,-2.793,0.0,-0.747
2022-08-12T00:23:00,11329.898,11421.621,11348.52,0.0,0.28,0.0,-2.789,0.0,-0.744
2022-08-12T00:23:30,11316.424,11414.969,11361.836,0.0,0.276,0.0,-2.786,0.0,-0.747
2022-08-12T00:24:00,11329.258,11422.14,11354.485,0.0,0.282,0.0,-2.784,0.0,-0.736
2022-08-12T00:24:30,11326.394,11422.438,11366.311,0.0,0.277,0.0,-2.792,0.0,-0.747
2022-08-12T00:25:00,11340.563,11428.183,11354.109,0.0,0.279,0.0,-2.8,0.0,-0.746
2022-08-12T00:25:30,11330.676,11423.237,11354.759,0.0,0.279,0.0,-2.79,0.0,-0.745
2022-08-12T00:26:00,11333.224,11429.497,11362.956,0.0,0.282,0.0,-2.779,0.0,-0.739
2022-08-12T00:26:30,11337.265,11433.72,11365.666,0.0,0.283,0.0,-2.8,0.0,-0.739
2022-08-12T00:27:00,11343.444,11433.934,11363.932,0.0,0.282,0.0,-2.798,0.0,-0.741
2022-08-12T00:27:30,11347.776,11442.351,11372.672,0.0,0.281,0.0,-2.803,0.0,-0.74
2022-08-12T00:28:00,11349.001,11440.059,11371.614,0.0,0.281,0.0,-2.793,0.0,-0.742
2022-08-12T00:28:30,11345.028,11439.945,11369.734,0.0,0.282,0.0,-2.807,0.0,-0.741
2022-08-12T00:29:00,11344.982,11438.065,11371.704,0.0,0.282,0.0,-2.812,0.0,-0.742
2022-08-12T00:29:30,11352.379,11447.393,11378.748,0.0,0.283,0.0,-2.817,0.0,-0.74
2022-08-12T00:30:00,11344.04,11438.434,11367.08,0.0,0.281,0.0,-2.807,0.0,-0.742
2022-08-12T00:30:30,11339.374,11435.105,11365.006,0.0,0.283,0.0,-2.813,0.0,-0.737
2022-08-12T00:31:00,11335.526,11424.305,11360.841,0.0,0.281,0.0,-2.818,0.0,-0.741
2022-08-12T00:31:30,11330.456,11418.14,11357.865,0.0,0.284,0.0,-2.828,0.0,-0.734
2022-08-12T00:32:00,11336.121,11423.151,11357.009,0.0,0.284,0.0,-2.837,0.0,-0.739
2022-08-12T00:32:30,11333.718,11421.529,11358.298,0.0,0.286,0.0,-2.821,0.0,-0.736
