IsoDatetime,v1,v2,v3,i1,i2,i3,p,q,pf
2022-08-12T00:00:00,399.162,395.101,398.582,113.646,144.594,112.425,84.311,12.718,0.988
2022-08-12T00:00:30,399.162,395.101,398.582,114.858,135.765,119.433,84.196,-3.801,0.991
2022-08-12T00:01:00,399.162,395.101,398.582,116.773,135.213,123.187,85.13,4.612,0.99
2022-08-12T00:01:30,397.948,395.101,398.582,136.745,140.847,129.829,92.712,5.061,0.989
2022-08-12T00:02:00,397.948,395.101,398.582,138.296,155.014,155.971,101.839,14.599,0.989
2022-08-12T00:02:30,398.965,395.101,398.582,120.657,147.148,116.706,86.809,13.292,0.988
2022-08-12T00:03:00,398.965,396.107,398.582,105.009,126.382,105.886,76.829,-11.26,0.99
2022-08-12T00:03:30,400.004,396.107,398.582,105.013,126.197,101.814,75.325,-11.496,0.989
2022-08-12T00:04:00,400.004,396.107,398.582,109.925,139.944,108.232,81.58,-3.582,0.988
2022-08-12T00:04:30,400.004,395.073,398.582,121.731,150.768,127.496,90.886,-3.056,0.989
2022-08-12T00:05:00,398.968,395.073,398.582,138.464,162.928,145.806,101.292,16.19,0.987
2022-08-12T00:05:30,398.968,395.073,398.582,120.681,147.621,111.803,85.879,15.783,0.983
2022-08-12T00:06:00,398.968,395.073,398.582,113.528,132.939,103.198,79.367,4.741,0.987
2022-08-12T00:06:30,398.968,396.075,398.582,117.35,136.474,106.867,81.627,14.089,0.985
2022-08-12T00:07:00,398.968,396.075,398.582,121.917,140.302,122.234,87.12,14.538,0.987
2022-08-12T00:07:30,398.968,396.075,398.582,117.951,135.973,121.318,84.903,14.703,0.985
2022-08-12T00:08:00,398.968,394.989,398.582,123.42,139.835,130.503,87.849,14.88,0.985
2022-08-12T00:08:30,398.968,394.989,398.582,119.136,137.219,123.051,85.864,14.765,0.985
2022-08-12T00:09:00,398.968,394.989,398.582,128.959,138.302,128.06,89.458,14.327,0.987
2022-08-12T00:09:30,398.968,394.989,398.582,129.112,144.775,113.601,87.546,15.144,0.986
2022-08-12T00:10:00,398.968,394.989,398.582,132.188,142.919,117.4,86.969,15.835,0.984
2022-08-12T00:10:30,398.968,394.989,398.582,127.092,145.63,120.98,88.652,13.934,0.987
2022-08-12T00:11:00,398.968,394.989,398.582,122.392,138.113,108.159,83.39,13.307,0.986
2022-08-12T00:11:30,398.968,394.989,398.582,120.672,153.475,112.881,87.748,13.555,0.988
2022-08-12T00:12:00,398.968,394.989,398.582,126.689,144.732,124.863,89.643,14.249,0.987
2022-08-12T00:12:30,397.84,394.989,398.582,123.02,142.491,109.636,84.626,13.998,0.987
2022-08-12T00:13:00,397.84,394.989,398.582,124.96,145.698,108.459,86.166,13.85,0.987
2022-08-12T00:13:30,398.848,394.989,398.582,120.313,141.926,104.648,83.04,13.447,0.986
2022-08-12T00:14:00,398.848,394.989,398.582,118.5,135.421,112.242,83.219,13.532,0.986
2022-08-12T00:14:30,398.848,394.989,398.582,118.087,140.059,117.631,85.016,14.01,0.986
2022-08-12T00:15:00,397.743,394.989,398.582,122.559,144.195,121.006,87.839,14.518,0.986
2022-08-12T00:15:30,397.743,394.989,398.582,116.91,144.249,123.81,87.076,14.325,0.986
2022-08-12T00:16:00,397.743,394.989,398.582,112.967,138.132,114.588,82.665,13.99,0.986
2022-08-12T00:16:30,397.743,394.989,398.582,120.265,144.826,122.405,87.604,15.18,0.985
2022-08-12T00:17:00,397.743,394.989,398.582,113.046,136.303,115.036,82.423,13.64,0.986
2022-08-12T00:17:30,397.743,394.989,398.582,120.008,137.214,121.658,85.672,14.256,0.986
