IsoDatetime,v1,v2,v3,i1,i2,i3,p,q,pf
2022-08-12T00:00:00,11329.766,11430.355,11346.465,63.52,66.143,62.415,1245.323,-0.195,0.988
2022-08-12T00:00:30,11317.245,11420.108,11346.891,63.361,66.055,62.793,1245.737,-0.193,0.988
2022-08-12T00:01:00,11309.708,11417.209,11343.846,64.081,66.423,63.713,1258.567,-0.193,0.988
2022-08-12T00:01:30,11297.819,11404.927,11345.925,64.065,65.675,63.647,1250.557,-0.204,0.987
2022-08-12T00:02:00,11317.979,11418.104,11343.329,64.833,66.294,64.456,1266.497,-0.203,0.987
2022-08-12T00:02:30,11318.231,11419.668,11346.114,63.494,65.112,62.045,1231.25,-0.218,0.985
2022-08-12T00:03:00,11327.952,11430.844,11352.998,62.186,64.559,61.135,1212.416,-0.225,0.983
2022-08-12T00:03:30,11327.277,11442.994,11344.149,62.454,64.68,61.437,1217.665,-0.222,0.983
2022-08-12T00:04:00,11325.782,11437.602,11344.141,62.842,65.493,62.094,1230.578,-0.218,0.985
2022-08-12T00:04:30,11320.522,11432.989,11338.146,63.381,65.901,62.244,1237.187,-0.218,0.985
2022-08-12T00:05:00,11308.032,11426.779,11336.894,63.804,66.213,62.637,1246.052,-0.206,0.986
2022-08-12T00:05:30,11315.481,11424.384,11349.528,62.85,65.423,61.204,1226.086,-0.202,0.987
2022-08-12T00:06:00,11322.641,11431.286,11350.874,61.88,64.678,61.319,1215.123,-0.208,0.985
2022-08-12T00:06:30,11327.355,11424.411,11368.304,62.415,65.026,61.699,1226.115,-0.196,0.987
2022-08-12T00:07:00,11323.471,11430.543,11358.854,64.453,67.611,63.951,1271.625,-0.195,0.988
2022-08-12T00:07:30,11324.709,11422.323,11352.255,65.325,68.19,64.72,1286.654,-0.19,0.989
2022-08-12T00:08:00,11329.617,11434.029,11357.211,63.023,66.143,62.765,1245.082,-0.194,0.989
2022-08-12T00:08:30,11327.598,11433.351,11359.104,62.89,66.249,62.798,1244.771,-0.196,0.988
2022-08-12T00:09:00,11320.053,11423.002,11352.371,62.625,66.329,63.466,1247.667,-0.192,0.988
2022-08-12T00:09:30,11318.672,11423.177,11345.853,62.253,65.953,62.675,1237.515,-0.19,0.989
2022-08-12T00:10:00,11318.553,11415.492,11336.211,62.146,65.521,62.392,1231.439,-0.19,0.988
2022-08-12T00:10:30,11316.732,11421.188,11337.544,62.575,66.009,62.711,1239.003,-0.195,0.988
2022-08-12T00:11:00,11306.213,11411.355,11333.255,61.691,65.242,61.782,1220.48,-0.198,0.988
2022-08-12T00:11:30,11305.918,11415.126,11337.296,62.187,65.42,61.715,1224.897,-0.197,0.987
2022-08-12T00:12:00,11303.289,11411.257,11331.316,61.934,65.165,61.67,1220.648,-0.198,0.987
2022-08-12T00:12:30,11297.348,11404.794,11326.07,62.277,65.766,62.201,1230.273,-0.195,0.988
2022-08-12T00:13:00,11308.245,11422.672,11340.623,61.731,65.747,62.055,1227.126,-0.195,0.988
2022-08-12T00:13:30,11311.388,11422.672,11340.508,62.591,65.832,62.482,1237.552,-0.189,0.988
2022-08-12T00:14:00,11320.297,11428.424,11343.457,62.786,65.868,62.041,1236.33,-0.188,0.989
2022-08-12T00:14:30,11307.901,11419.47,11350.666,63.345,65.951,61.565,1237.299,-0.186,0.989
2022-08-12T00:15:00,11305.567,11415.3,11348.997,64.355,66.625,62.947,1256.977,-0.185,0.989
2022-08-12T00:15:30,11316.416,11398.042,11339.922,65.44,66.866,63.753,1272.464,-0.18,0.99
2022-08-12T00:16:00,11302.088,11409.798,11346.936,64.945,66.061,62.81,1256.845,-0.182,0.99
2022-08-12T00:16:30,11306.54,11404.743,11355.073,66.095,67.277,63.767,1279.531,-0.183,0.99
