IsoDatetime,t02_a,t02_b,t02_c,t01_a,t01_b,t01_c,ss03_a,ss03_b,ss03_c,ss04_a,ss04_b,ss04_c,ss05_a,ss05_b,ss05_c,ss14_a,ss14_b,ss14_c,ss15_a,ss15_b,ss15_c,ss16_a,ss16_b,ss16_c,ss18_a,ss18_b,ss18_c,ss19_a,ss19_b,ss19_c,ss21_a,ss21_b,ss21_c,ss24_a,ss24_b,ss24_c,ss11_a,ss11_b,ss11_c,ss33_a,ss33_b,ss33_c,ss29_a,ss29_b,ss29_c,ss27_a,ss27_b,ss27_c,ss26_a,ss26_b,ss26_c,ss28_a,ss28_b,ss28_c,ss25_a,ss25_b,ss25_c,ss06_a,ss06_b,ss06_c,t07_a,t07_b,t07_c,t08_a,t08_b,t08_c,ss08_a,ss08_b,ss08_c,ss22_a,ss22_b,ss22_c,ss23_a,ss23_b,ss23_c,ss17_a,ss17_b,ss17_c,ss12_a,ss12_b,ss12_c
2022-05-13T00:00:00,-7031.333829493451,-6044.050249805245,-4690.9257504710195,-5693.532350410051,-2907.4125106390165,-5516.6795726974815,-4118.102472561461,-4138.51487655445,-4591.995400312352,-7113.695302735627,-6614.774116624084,-4925.074776972858,-3703.4935597764515,-6771.155462679299,-8060.885378600826,-497.9603011798901,-3712.0014050441614,-3644.979318574898,-1986.3028857813806,-1732.1938281602304,-4714.216975182161,-2491.0765735654936,-3452.981930613073,-3933.165252749762,-6098.827587588914,-4644.771686516138,-5746.8501152457375,-6571.435990399198,-6943.843059596241,-6695.115935632716,-9895.513755875729,-11622.582321039981,-10543.095952263047,-6014.495160191076,-8507.341225034092,-5573.325774279509,-2701.6986032193786,-4206.3824439852315,-3171.98881326976,-1400.3627909186869,-1382.2987450032995,-4168.6436847605955,-955.0335731488275,-4716.827467293828,-2974.860906999934,-684.6019419886966,-628.7786286903909,-4892.201748466159,-3721.0385347718716,-216.25783279960677,-1616.3578590970324,-1259.8288014688778,-2855.8773874900376,-1881.3465218373194,-5918.93326439439,-6144.953320660841,-5603.0993124619645,-4903.3832912068265,-2350.4724063371227,-1557.5125254596162,-3680.4126012856664,-1279.2629319885862,-2588.708255929812,-5075.151315370434,-2110.150594621263,-4239.615952670466,-2885.022065657848,-332.4350616758604,-5068.730392641039,-4863.162651224041,-5028.459100677008,-282.5580978751435,-2142.4303794203984,-4533.18851372907,-940.9960324478154,-2482.5051722972003,-4557.055828301309,-2708.4676998203017,8481.129604135518,9129.694472522433,9303.296733541012
2022-05-13T00:05:00,2883.94273305509,123.34439442339499,2727.5672151803788,-7881.426210890972,-6249.620129346949,-6804.983228126654,-1677.090371362569,-5038.085868095151,-4117.002412402521,-8401.993991776557,-5966.93421017609,-8357.750842259633,-2582.4891265026235,-6177.598336696299,-8193.49750560215,-1517.526941519996,-2722.4989934930686,-5197.899219253959,-1856.1933940709,-3956.7226580332626,-2080.395640834421,-4378.184008256464,-5214.93666217044,-4634.955532109819,-5376.659512123322,-8152.769955593731,-3849.6723075763693,-8053.19572903096,-8744.365129680707,-6199.518893804447,-12137.279065585833,-14599.353695447277,-9423.068766711449,3023.06799327205,960.2623768515214,188.2557521558001,-5694.7942073245695,-2077.5317104088977,-3380.3422984117783,-4186.552144937383,-1020.9695651584063,-1535.7306187145507,-2057.789187397446,-3920.544158624789,-3761.2284997220945,-1929.307260819881,-3582.364231358376,-1305.713586380951,-5833.328134395494,-5901.968816237335,-5300.599991262342,-4942.614452482977,-592.2388832207167,-2393.4130331974716,-3707.2343505338595,-7222.469151136129,-7978.087192599007,-120.01903323910975,-4902.788479119231,-1551.9344376775414,-3495.96950878315,-3725.3907083261015,-4624.949230209111,-3966.9067763700473,-5050.86535615684,-3736.980533621262,-4960.913318117072,-2214.391977355732,-1288.0296123714954,-4006.008388865694,-4803.341574570962,-938.6990390347512,-2743.415870945143,-2371.3499156191324,-4459.434399881791,-823.3570283119753,-3091.8100976647106,-2905.8774112952865,8244.504749943571,9130.94441675167,6776.879471226729
2022-05-13T00:10:00,-1297.8095651369615,-4124.8897555381,-4097.604555810629,-5647.948306397173,-8213.844294248043,-8010.5388507465605,-2557.477384924971,-5004.154308401439,-4838.245150379327,-6382.76704081718,-3677.800104231657,-8064.109562841497,-4248.0083506316205,-7635.691533217032,-6267.223168066354,-599.0603495920834,-720.7141275768555,-1257.0608216163166,-4906.53918513773,-4459.361807348247,-5120.410135428948,-3389.997759578308,-3871.0422081956212,-4950.711261485796,-5909.2877135746785,-7612.789341870488,-8627.366542986136,-4490.792139138308,-4844.713993935352,-4367.238864893496,-8848.562035275316,-14105.093195055266,-12947.573475811694,-11138.519050548071,-11593.712273366105,-9461.079354802998,-4152.4614631309305,-4740.584016607266,-1385.8745373530714,-964.0317389270609,-1078.203412759913,-2890.8788603834873,-376.96610096239334,-5249.228541718457,-2305.3322775395905,-1529.4392496914893,-2236.901533230332,-4420.427857880152,-3031.4791035276376,-4560.607164392005,-3108.7676186714325,-2912.9962971980367,-3819.4095794029404,-4130.336270227168,-6110.679652494062,-5120.413867119678,-5422.558592200543,-1989.1087735624062,-4474.840624190462,-5404.43646165522,-1365.1182726811471,-23.801244699152917,-3701.8618593318474,-5030.052235720453,-3521.53019126094,-3279.0499253457297,-1648.4132657037335,-932.4816689290318,-746.6826667826897,-4726.987075078102,-386.43657991016335,-3318.743509987769,-4765.454852851062,-2265.4551129004712,-1999.633518676396,-3163.4754606125016,-4799.162140277541,-482.1876737938443,7465.25470161106,7624.61204601438,8142.431635361519
2022-05-13T00:15:00,2879.974406358019,3043.2559304561796,2946.018004436082,-4890.1019163048195,-3835.3210703565837,-5135.495547020412,-3950.853789687134,-4947.254268984197,-4829.750413491963,-4299.39557423211,-8889.785118149814,-7170.357191309342,-5261.984219150083,-6241.223357551944,-7472.851490278567,-1389.6462060393476,-1406.7552858040526,-522.1988418688354,-2093.8318287169523,-5561.2954125993665,-3339.1748204039122,-5335.752449087375,-3439.4242339560537,-510.9486739319369,-7305.275952541473,-6182.914490058135,-7687.196389018105,-7859.396477545448,-5284.408624197823,-8766.958441919014,-12182.751064334914,-13697.614264967124,-14096.278170298769,-11132.840842977446,-10811.181759132309,-8420.866258375192,-5278.937061384352,-1326.3869563724468,-4696.003398148427,-2641.5566561996075,-1263.2492493357825,-2007.8613129373455,-27.502115099630416,-236.06261515348834,-1691.3869277510576,-5823.458265446176,-713.2199511561636,-1317.6586616141553,-3143.3385414053528,-5450.435390350692,-1683.7309331109984,-4223.594774500962,-5728.867256511579,-5006.554934923549,335.0882120509939,-50.02110192177395,-1334.313073670522,-6052.373322230326,-3857.871724490045,-195.37209749275755,-286.0832501707279,-221.07996075001824,-4288.241096271676,-2508.5385721036337,-4288.356733768784,-5667.7611888613355,-3335.632041249721,-2750.7321188484243,-3595.882813314572,-3955.0525144240346,-4571.333278450639,-2843.8975119007546,-4913.681105817444,-917.196474601721,-6183.577170060011,-2122.143491108845,-79.75283728381659,-2340.2499939801696,8907.54209931844,12259.538586540328,12446.89286095092
2022-05-13T00:20:00,2367.391690526243,1531.0252275643506,1488.0415134737168,-5585.8062615132585,-6822.90412430923,-3016.9370274378657,-4143.813791535166,-7793.998790658302,-3399.724697768511,-4373.125434498881,-4097.925155222274,-8358.160838014017,-6738.858576635214,-8745.047225085324,-4430.1266766741155,-3394.972667859487,-104.56979586178676,-1645.3564758608604,-1738.9471530778387,-3193.5938369434652,-2973.442158031516,-4081.5056050665416,-1271.565060391459,-594.4680570225391,-6287.572171196863,-3305.227987906336,-4249.455617383793,-7413.781455850629,-6720.845413026005,-9567.817398897078,-12118.645116501628,-12815.23144274655,-8942.513836665054,-7432.944126541677,-7570.200735601733,-6014.94567078183,-839.1537737729127,-4311.779169434764,-1690.8247947141076,-1931.5901720634752,-3014.3183901645302,-2868.09507230107,-5388.720307413205,-2195.9361889449274,-5688.9546501746945,-4576.476462328286,-4862.836690173849,-3623.873724309886,-2485.5561415445327,-4238.625504688461,-5814.097554636952,-6035.485296923507,-3649.114350183275,-1835.9043542263605,-7618.580964652723,-7318.623181413517,-7774.016786099365,-2882.5438167632246,-660.7192462359981,-6005.217867828142,-2833.4737370001767,-2281.3691545373745,-877.9928293035642,-4589.66147827091,-3360.631325671964,-5844.282925025557,-4484.304452457512,-748.5849098152111,-1527.2559200625608,-6132.319161015755,-3086.4672196042907,-4227.767737694147,-538.3116432407595,-2979.141369813074,-5853.040545022854,-828.1637413642725,-651.6936461649173,-2808.469973276967,11616.178784653504,6440.880411777389,12215.158423239653
2022-05-13T00:25:00,2424.750877694389,4006.0260302974507,4854.547858607791,-4839.762748247023,-6096.267501409325,-7075.846048270705,-5969.402862626772,-4157.518920842595,-7791.263705692663,-6389.942767350947,-4012.2833718602496,-4705.958151148047,-4426.695131523456,-6606.229374432303,-4499.5621885770415,-5428.151672412869,-1719.2733538068228,-4376.070850758558,-6131.380391355496,-4401.4044395626615,-4275.607261358995,-1863.1344675299965,-4233.197021805587,-4624.6113815583085,-4743.371171737304,-7449.453190026508,-6042.42134892806,-4305.21142462608,-3511.0062742653445,-3632.3334458180557,-8832.916476045431,-12058.64217054491,-13451.123785739357,-5483.672024331227,-11066.086813797148,-5479.249326158713,-4423.954569135595,-5079.463845148861,-3538.5003078581826,-2825.220158359825,-553.5668564605593,-5754.601756011686,-645.2734362695668,-1090.024702171193,-2044.140830102033,-1050.0227276971923,-5827.829873005874,-4954.889144549704,-948.7483687627764,-2249.326372824967,-767.6307447996952,-4594.156361886447,-871.2595237755111,-1756.543544066898,-3551.321584591709,-120.88037100159283,-2796.942417677252,-1677.6728801120512,-5220.536735636672,-2761.1026088233325,-4580.4857197570955,-6092.170678153468,-1778.7090037149871,-2026.1366822657349,-4410.207295002291,-1724.0139161290792,-4030.530214364994,-1277.2093050593658,-4058.0806146578648,-4073.2196442597806,-5856.4749509899575,-1128.6097579041157,-3750.302146609287,-4802.5491681920885,-3631.6271516415904,-3472.223607059274,-1299.7938969849693,-1087.0626351263288,8147.855178298489,8294.244721660849,7896.459988194805
2022-05-13T00:30:00,-3169.5795226016307,-1333.35741063227,-2791.1062766126406,-6700.232321294404,-5557.089984817272,-7179.009226411657,-2102.8695241941455,-5931.062969402119,-6259.3701844454745,-5228.1386808630505,-6281.58441810217,-6070.617455805141,-6674.8062238353095,-4854.188414360441,-7354.317089133165,-3421.494672013444,-4406.437532726376,-3.0444356009110396,-3002.868315283852,-2424.5238577819905,-2942.1700564365015,-5815.10718225117,-4674.959949229441,-2384.463469013242,-6929.062502305083,-3446.807029866221,-6193.669994962512,-4685.027105440007,-4481.979740914572,-5218.646329132927,-8789.579308736313,-14588.637461981216,-11912.394778546215,1422.3346934247147,1908.546749338469,3376.183455516332,-4563.823676099913,-4583.082642429502,-5043.200960401065,-4229.020169211729,-3006.7430930044193,-4208.671104324183,-5342.242909003093,-4005.2640477570144,-1880.190264491047,-1820.3751777443858,-1006.0952687522271,-5726.755135777398,-3810.700110357896,-3106.9991747765926,-5041.476027151915,-539.0040317575559,-3683.3190941165394,-4864.555591663341,-8512.834596957917,-4424.683871551647,-10295.739076514505,-5071.035547218175,-5967.805800836186,-2669.3093244044376,-5319.463652741869,-5241.706100748692,-1772.690896203064,-3106.293634535622,-1260.12328453809,-832.6258654728596,-2548.8215534952283,-243.96091784310468,-2974.008349199544,-555.069786899522,-797.8249866917963,-463.7380895232759,-1506.4392348078445,-1406.6123727444867,-2195.0238470666654,-2118.2236162366326,-103.72597762257226,-4523.8988844876885,10184.991443331464,12408.49934903947,10565.926485654723
2022-05-13T00:35:00,815.2824927623178,1942.4227898751055,4975.659533502103,-8978.329662858614,-8202.319673042508,-7646.66673452199,-5541.045463734597,-6454.275290288101,-5941.471457943874,-5972.124182939144,-9848.506562755305,-8789.257801837874,-4826.406324791271,-6005.230501543091,-3248.0064207267533,-3946.727769592191,-902.9049495690892,-6015.0386969759375,-238.58105512005193,-4085.175343489167,-576.263516036258,-1832.6729951670873,-1826.2387730782264,-832.1580414399831,-4657.423655668432,-3692.3774277227603,-8274.246714278335,-3819.383188434615,-4757.3355396186735,-5648.901474249194,-14284.829361715889,-12673.29448893503,-10770.062715742268,-7699.908168135733,-6640.990118307348,-6564.774534314648,141.08572303190527,-5330.033473628927,-3264.073687797183,-5344.90450559965,-3516.8683740910897,-28.782141515048856,-5694.0891127893665,-3324.4929238418094,-4099.073122703077,-3687.0602972566626,-3925.9394115825744,-3046.6851638177554,-4997.03736372556,-3839.0750426049085,-1893.0792712233674,-4840.124408054704,-5262.521348392985,-5043.031387150392,380.62805069074676,-1482.5113480441041,-2692.1028520251953,-3502.912279871946,-5027.546669192856,-3482.5958436742085,-5704.905005190946,-4096.941461050356,-119.33739457630578,-2982.8989317818964,-1870.6457252320472,-1895.8650247147862,-6048.2987974604775,-216.33982351911058,-2140.512662858868,-3873.3208311652147,-1878.4211357690092,-4035.16612354637,-1925.1706262935509,-3987.0898452028378,-3123.7062803200115,-1041.7169388049163,-4593.85585421262,-5319.666243249128,9520.165839701684,12164.550494312725,10425.924764762583
2022-05-13T00:40:00,6094.9133752003745,3836.6522676066515,2085.355208288949,-7533.516134676996,-6806.805587764486,-4271.384639557997,-1830.6117084305122,-4936.820844279818,-6441.112913791394,-5153.7520163958325,-9551.05494846673,-7561.267547352827,-2800.4665076761803,-1057.8623218675111,-5460.023401414398,-5114.529576173354,-1737.5173453156544,-2792.3209683174928,-2956.4688808160295,-2152.2491716116215,-4631.6516903229885,-5019.663303869197,-2095.885908865051,-3628.0359054048445,-4086.357825615012,-5391.415385367976,-9031.821715414371,-8761.605060168013,-7562.123859078996,-7122.335711501757,-8939.19709257779,-9296.211133375056,-9290.504006914069,-5389.314688577355,-6719.2154213734575,-6961.0481169224895,-5380.113871933962,-1124.691655395549,-3655.811649653759,-4727.232826233481,-998.0902285348778,-5886.260131508324,-3678.1544936954056,-1523.4183064168296,-5727.912692863725,-4788.519588168858,-3530.0886717828075,-5265.754619656134,-4135.34041285566,-790.0490554946982,-1918.963395104609,-2651.9094334957117,-291.43437217204104,-3610.2407292622074,-5275.224065163524,-6305.614596838239,-8464.82770130872,-4841.295034450599,-5263.85339561826,-5656.310068300361,-791.1734650053663,-4207.615225357232,-944.1365885228072,-4749.736426279564,-3846.3658569372587,-2695.72681588879,-4779.174585679177,-4925.289739055399,-3989.6091571011375,-4410.9354970061695,-1427.872479440277,-968.615697996373,-2870.681832343158,-3088.856471592744,-1268.1920973105928,-229.47674569598226,-5892.816240964821,-5831.492591173456,8396.073593189922,8560.93677434708,10061.957218641415
2022-05-13T00:45:00,1164.3162047444093,4887.400853916827,-135.51152722463576,-4566.176141445453,-3591.068043993602,-5483.824955466762,-4943.67843872392,-6598.9382723191475,-3930.6051595788845,-7207.101523410001,-5347.648835786105,-5958.722804834761,-5022.312744202997,-2144.2484456800025,-3930.9791158237163,-2432.619506727782,-1697.9092830900388,-354.69643797719834,-1179.7742093122858,-988.7379445584278,-5703.918564513158,-4474.906405295729,-4431.955299190576,-3579.3556660238737,-5961.506029639978,-3383.4375263240795,-6738.728314250546,-7760.135652236993,-4601.022906209017,-8569.058807024761,-13700.176623390596,-8948.003503620674,-12358.603915839827,-11153.074271128577,-9521.555187040512,-7609.107599753559,-2312.8232521237246,-1088.3512188987488,-1440.1611541491561,-1905.8918532463722,-3942.8714600501776,-3162.0608164743035,-4723.155789109922,-1909.136503956534,-4155.310118183547,-3100.5416307148625,-4187.590181888155,-448.99538391959334,-3774.869228287582,-544.3568829512968,-4832.246975597489,-2334.7516576439466,-1664.4089220433061,-404.7507209563527,-2913.1426528710376,-397.3615131645398,-914.9271151329814,-3031.917894861743,-2951.6178081913863,-2752.1823720694965,-4930.020655325394,-2480.9125717811585,-5410.434900053571,-3766.9786580297573,-3150.412466559729,-1940.776358959874,-535.164205202455,-178.6077484436362,-3469.152181289448,-5386.3382329765045,-5421.270982724167,-375.0257866107136,-4582.311069533358,-2170.8477801562317,-5595.648962777423,-2278.6360974709382,-2860.5517878296805,-2829.674867656117,10693.035685029154,7727.980604298683,10523.774022558855
