IsoDatetime,SOURCEBUS.1,SOURCEBUS.2,SOURCEBUS.3
2022-09-17T00:00:00,(1.0201264641745893+0j),(-0.5166415683878484+0.8948494457498244j),(-0.5184468628442244-0.8979763074708903j)
2022-09-17T00:05:00,(1.0208968080654117+0j),(-0.5163371603600683+0.8943221955794777j),(-0.5184140092632823-0.8979194033994881j)
2022-09-17T00:10:00,(1.019711040293833+0j),(-0.5165087407375973+0.8946193815109398j),(-0.5184855696116951-0.8980433495587464j)
2022-09-17T00:15:00,(1.0207607923072355+0j),(-0.5161793962273209+0.8940489400859472j),(-0.518898780942561-0.8987590525780692j)
2022-09-17T00:22:30,(1.0202777986769027+0j),(-0.5163873432926899+0.8944091149684511j),(-0.5182794273079078-0.8976863006149974j)
2022-09-17T00:25:00,(1.0200584342708765+0j),(-0.5167028996952509+0.8949556746903403j),(-0.5186749366604202-0.8983713429084176j)
2022-09-17T00:30:00,(1.0212899248138136+0j),(-0.5163239690311315+0.8942993475275399j),(-0.5183241791286192-0.8977638130422007j)
2022-09-17T00:35:00,(1.0200343824621518+0j),(-0.5159639249163143+0.8936757328277103j),(-0.5175920219163517-0.8964956795514255j)
2022-09-17T00:40:00,(1.0195549383215692+0j),(-0.5153117449972434+0.8925461240722034j),(-0.5175893178037257-0.8964909958909678j)
2022-09-17T00:45:00,(1.0191596559757456+0j),(-0.5163967317421408+0.8944253762399044j),(-0.5185133245112562-0.8980914224549452j)
2022-09-17T00:50:00,(1.0211668855399922+0j),(-0.5163817154078446+0.8943993671859599j),(-0.5185735656618845-0.8981957631885398j)
2022-09-17T00:55:00,(1.0218382982401328+0j),(-0.5174324624774714+0.8962193144964575j),(-0.5188894617517013-0.8987429112660148j)
2022-09-17T01:00:00,(1.0213384808798855+0j),(-0.5164555645917823+0.8945272777246374j),(-0.517876940139573-0.896989172390047j)
2022-09-17T01:05:00,(1.0224675775508274+0j),(-0.5176215509366386+0.8965468253148602j),(-0.519098623864207-0.8991051906718932j)
2022-09-17T01:10:00,(1.025270481948631+0j),(-0.5184429362005653+0.8979695063245694j),(-0.519746155511976-0.9002267483853378j)
2022-09-17T01:15:00,(1.025031077293194+0j),(-0.5176648307204329+0.8966217880993325j),(-0.5195525476754305-0.8998914097756975j)
2022-09-17T01:22:30,(1.0250129789721438+0j),(-0.5190750517768673+0.8990643626189803j),(-0.5208711641153021-0.9021753204452507j)
2022-09-17T01:25:00,(1.0250512430666567+0j),(-0.5185928957044643+0.8982292438044005j),(-0.521263649223425-0.9028551245937338j)
2022-09-17T01:32:30,(1.026044183746219+0j),(-0.5185544616455935+0.8981626740616951j),(-0.5208432246480353-0.9021269278684083j)
2022-09-17T01:35:00,(1.025974758456787+0j),(-0.5184182772348371+0.8979267957430662j),(-0.5212088479014816-0.9027602059198057j)
2022-09-17T01:40:00,(1.02725123287926+0j),(-0.5200490164748625+0.9007513189606864j),(-0.5224699329219767-0.9049444692479676j)
2022-09-17T01:45:00,(1.0263557149924871+0j),(-0.5187269701745614+0.8984614675986065j),(-0.5211226958100769-0.9026109861203143j)
2022-09-17T01:50:00,(1.0268637057584429+0j),(-0.5174485288157549+0.8962471422106563j),(-0.5219414338688018-0.9040290820361163j)
2022-09-17T01:55:00,(1.0254313924964433+0j),(-0.5175022769311783+0.8963402366773807j),(-0.52247254607421-0.9049489953604032j)
2022-09-17T02:00:00,(1.0267390201972664+0j),(-0.519446972771978+0.8997085486789137j),(-0.5215556001830801-0.9033607984891748j)
2022-09-17T02:05:00,(1.0250447908680893+0j),(-0.5182936858726909+0.8977109971736447j),(-0.5204500637668236-0.9014459532466007j)
2022-09-17T02:10:00,(1.026286221220781+0j),(-0.519076613182575+0.8990670670529974j),(-0.5214464574261501-0.903171757688894j)
2022-09-17T02:15:00,(1.0248722575818867+0j),(-0.5179207773710115+0.8970651007021616j),(-0.5197924383590274-0.9003069126279498j)
2022-09-17T02:20:00,(1.0246588392573015+0j),(-0.5184443639032182+0.8979719791781026j),(-0.5206364527068366-0.9017687883606723j)
2022-09-17T02:25:00,(1.0251586221866356+0j),(-0.5193195124581288+0.8994877809393782j),(-0.5211201315371977-0.9026065446694034j)
2022-09-17T02:30:00,(1.026047994630559+0j),(-0.519750395181772+0.9002340917088318j),(-0.5215531507395194-0.9033565559284773j)
2022-09-17T02:35:00,(1.0251948191311027+0j),(-0.5190148112201511+0.8989600229140717j),(-0.5214514784360326-0.9031804543331156j)
2022-09-17T02:40:00,(1.0268009807805871+0j),(-0.5197566109827081+0.9002448577918628j),(-0.521318193901683-0.902949598747759j)
2022-09-17T02:45:00,(1.0266994468093833+0j),(-0.5198782204271537+0.9004554915283229j),(-0.5212978596881285-0.9029143788567507j)
2022-09-17T02:50:00,(1.0267269383203412+0j),(-0.5199260153669468+0.9005382747923892j),(-0.5222118209353028-0.9044974061730056j)
2022-09-17T02:55:00,(1.02589985671548+0j),(-0.5196288977420879+0.9000236519703093j),(-0.5215229605238924-0.90330426494112j)
