bus,x,y
SS01,548959.7173443129,5872713.0461565545
SS02,548511.4546463435,5872807.743696815
SS03,548860.9517017195,5873047.79764129
SS04,548591.3751814904,5873061.311384189
SS05,548585.5121970035,5872877.577258993
SS06,548565.331095096,5872536.390310271
SS08,548279.9457796761,5872738.2209088635
SS11,548843.6576045679,5872695.290840372
SS12,549070.3687029558,5873090.0895265
SS13,549379.9244095306,5873163.343383403
SS14,549335.5445938752,5873008.360632083
SS15,548776.9191202369,5872923.234493635
SS16,549182.6413184033,5872800.981696327
SS17,549468.544140985,5872617.565769262
SS18,548928.0305891011,5873050.704029668
SS19,549084.4984457507,5873172.003027888
SS21,548928.3191437895,5872949.691188074
SS22,549053.3461709918,5873074.674646387
SS23,549228.3072827407,5873073.679554115
SS24,549176.9420219258,5873253.714834818
SS25,548626.2297304056,5872806.342932986
SS26,549384.2531687825,5873029.219042409
SS27,549070.3687029558,5873090.0895265
SS28,548608.2381618228,5872693.909280438
SS29,549401.132844343,5873241.548001998
SS30,549636.799919914,5872214.010190063
SS13a,549379.9244095306,5873163.343383403
sourcebus,549379.9244095306,5873163.343383403
tx3,549636.799919914,5872214.010190063
tx4,549636.799919914,5872214.010190063
tx5,549636.799919914,5872214.010190063
rmu1,549636.799919914,5872214.010190063
rmu2,549636.799919914,5872214.010190063
T01,548959.7173443129,5872713.0461565545
T02,548959.7173443129,5872713.0461565545
T07,548511.4546463435,5872807.743696815
T08,548511.4546463435,5872807.743696815
